Datum;Tid;Torkel Knutssonsg;Marsta;Norr Malma;Högdalen;Null
20-01-01;00:00;71.2697;73.2949;68.6219;69.9841;
20-01-02;00:00;76.2709;80.2927;78.8615;75.254;
20-01-03;00:00;68.0658;68.0179;65.0533;68.4381;
20-01-04;00:00;52.0281;53.7576;54.8122;52.1409;
20-01-05;00:00;73.0497;78.573;76.308;72.752;
20-01-06;00:00;96.6042;96.2052;97.8927;96.3646;
20-01-07;00:00;87.5427;88.8688;88.8302;88.3906;
20-01-08;00:00;73.1326;75.6652;74.3363;73.4039;
20-01-09;00:00;80.0027;85.597;83.3073;80.8004;
20-01-10;00:00;88.0219;89.8938;97.1105;90.4375;
20-01-11;00:00;80.837;84.7028;82.1071;83.678;
20-01-12;00:00;81.8671;85.0137;81.5438;81.6949;
20-01-13;00:00;86.5531;90.4969;91.0365;87.6824;
20-01-14;00:00;88.3594;88.9823;89.6875;89.1533;
20-01-15;00:00;81.135;82.0424;81.1616;82.3994;
20-01-16;00:00;73.7902;80.1654;78.0751;73.3933;
20-01-17;00:00;88.549;88.3469;88.2469;89.1344;
20-01-18;00:00;88.051;91.8302;91.8522;88.3082;
20-01-19;00:00;79.2689;81.9664;78.5623;77.5822;
20-01-20;00:00;73.4585;79.2931;74.9442;73.605;
20-01-21;00:00;73.947;75.4011;72.6309;72.1014;
20-01-22;00:00;56.438;61.4539;62.6442;;
20-01-23;00:00;74.653;80.9662;77.792;74.6624;
20-01-24;00:00;81.0323;83.1504;81.6666;80.2271;
20-01-25;00:00;74.5137;76.0325;71.4919;74.9037;
20-01-26;00:00;80.1271;83.5432;83.2281;79.1508;
20-01-27;00:00;90.2698;90.15;90.6698;90.3708;
20-01-28;00:00;96.0448;94.9698;98.0032;96.4968;
20-01-29;00:00;94.5438;94.4042;97.576;95.7594;
20-01-30;00:00;92.1542;94.3708;98.7659;95.7052;
20-01-31;00:00;90.0531;94.2771;97.8812;94.1344;
20-02-01;00:00;90.5386;91.9646;95.2532;91.6519;
20-02-02;00:00;74.425;77.8591;82.678;74.9097;
20-02-03;00:00;70.9503;80.37;84.3075;75.09;
20-02-04;00:00;78.7684;88.8727;90.174;81.1049;
20-02-05;00:00;72.8187;75.6906;75.5822;72.7314;
20-02-06;00:00;70.355;79.3241;73.8407;72.6694;
20-02-07;00:00;84.642;89.624;89.5177;86.7078;
20-02-08;00:00;89.9958;88.5698;90.798;90.074;
20-02-09;00:00;88.2677;87.7542;89.8823;88.9493;
20-02-10;00:00;79.9011;81.9252;83.0487;79.5157;
20-02-11;00:00;72.1914;81.0657;80.0272;73.3927;
20-02-12;00:00;80.7819;88.0819;86.5643;81.0928;
20-02-13;00:00;68.2164;82.693;84.6222;68.3187;
20-02-14;00:00;71.1508;81.9502;86.0447;74.808;
20-02-15;00:00;84.8271;88.5269;89.7031;85.8282;
20-02-16;00:00;86.7568;85.9874;88.5823;88.3151;
20-02-17;00:00;70.7719;73.7189;70.3506;71.4755;
20-02-18;00:00;66.7242;73.1467;69.1654;67.129;
20-02-19;00:00;70.1627;76.9803;76.881;70.5475;
20-02-20;00:00;83.927;90.3281;88.1;86.9708;
20-02-21;00:00;73.1163;77.8502;77.2526;74.5482;
20-02-22;00:00;75.312;77.9668;77.3223;74.7157;
20-02-23;00:00;61.1177;64.5814;62.4367;61.5472;
20-02-24;00:00;53.7752;66.6943;63.4227;55.7569;
