Datum;Dygnsmedel
2022-01-11;1.7
2022-01-12;4.3
2022-01-13;6.6
2022-01-14;5.9
2022-01-15;1.6
2022-01-16;4.7
2022-01-17;3.9
2022-01-18;2.9
2022-01-19;4.7
2022-01-20;1.2
2022-01-21;2.2
2022-01-22;1.3
2022-01-23;4.4
2022-01-24;5.4
2022-01-25;4.3
2022-01-26;5.5
2022-01-27;5.8
2022-01-28;4.3
2022-01-29;5.7
2022-01-30;5.1
2022-01-31;-0.8
2022-02-01;0.6
2022-02-02;-0.8
2022-02-03;3.2
2022-02-04;Nan
2022-02-05;Nan
2022-02-06;2.8
2022-02-07;4.1
2022-02-08;5.3
2022-02-09;4.9
2022-02-10;4.1
2022-02-11;2.7
2022-02-12;3.3
2022-02-13;3.5
2022-02-14;4.4
2022-02-15;4.7
2022-02-16;Nan
2022-02-17;Nan
2022-02-18;Nan
2022-02-19;Nan
2022-02-20;Nan
2022-02-21;Nan
2022-02-22;Nan
2022-02-23;Nan
2022-02-24;Nan
2022-02-25;Nan
2022-02-26;Nan
2022-02-27;Nan
2022-02-28;Nan
2022-03-01;Nan
2022-03-02;Nan
2022-03-03;Nan
2022-03-04;Nan
2022-03-05;Nan
2022-03-06;Nan
2022-03-07;Nan
2022-03-08;Nan
2022-03-09;Nan
2022-03-10;Nan
2022-03-11;Nan
2022-03-12;Nan
2022-03-13;Nan
2022-03-14;Nan
2022-03-15;Nan
2022-03-16;Nan
2022-03-17;Nan
2022-03-18;Nan
2022-03-19;Nan
2022-03-20;Nan
2022-03-21;Nan
2022-03-22;Nan
2022-03-23;Nan
2022-03-24;Nan
2022-03-25;Nan
2022-03-26;Nan
2022-03-27;Nan
2022-03-28;Nan
2022-03-29;Nan
2022-03-30;Nan
2022-03-31;Nan
2022-04-01;Nan
2022-04-02;Nan
2022-04-03;Nan
2022-04-04;Nan
2022-04-05;Nan
2022-04-06;Nan
2022-04-07;Nan
2022-04-08;Nan
2022-04-09;Nan
2022-04-10;Nan
2022-04-11;Nan
2022-04-12;Nan
2022-04-13;Nan
2022-04-14;Nan
2022-04-15;Nan
2022-04-16;Nan
2022-04-17;Nan
2022-04-18;Nan
2022-04-19;Nan
2022-04-20;Nan
2022-04-21;Nan
2022-04-22;Nan
2022-04-23;Nan
2022-04-24;Nan
2022-04-25;Nan
2022-04-26;Nan
2022-04-27;Nan
2022-04-28;Nan
2022-04-29;Nan
2022-04-30;Nan
2022-05-01;Nan
2022-05-02;Nan
2022-05-03;Nan
2022-05-04;Nan
2022-05-05;Nan
2022-05-06;Nan
2022-05-07;Nan
2022-05-08;Nan
2022-05-09;Nan
2022-05-10;Nan
2022-05-11;Nan
2022-05-12;Nan
2022-05-13;10.3
2022-05-14;11.2
2022-05-15;12.6
2022-05-16;13.1
2022-05-17;13.7
2022-05-18;13.5
2022-05-19;14.3
2022-05-20;13.1
2022-05-21;11.2
2022-05-22;12.6
2022-05-23;13.7
2022-05-24;12.7
2022-05-25;12.3
2022-05-26;10.9
2022-05-27;11.2
2022-05-28;12.4
2022-05-29;13.4
2022-05-30;11.8
2022-05-31;13.2
2022-06-01;13.0
2022-06-02;12.7
2022-06-03;12.9
2022-06-04;13.5
2022-06-05;15.1
2022-06-06;16.8
2022-06-07;15.5
2022-06-08;13.6
2022-06-09;15.9
2022-06-10;14.7
2022-06-11;15.7
2022-06-12;14.6
2022-06-13;14.0
2022-06-14;14.9
2022-06-15;14.9
2022-06-16;15.9
2022-06-17;16.4
2022-06-18;15.8
2022-06-19;14.6
2022-06-20;14.7
2022-06-21;15.6
2022-06-22;15.5
2022-06-23;15.6
2022-06-24;20.8
2022-06-25;21.6
2022-06-26;21.3
2022-06-27;19.8
2022-06-28;17.5
2022-06-29;19.4
2022-06-30;22.1
2022-07-01;20.6
2022-07-02;18.1
2022-07-03;17.5
2022-07-04;16.0
2022-07-05;15.5
2022-07-06;16.3
2022-07-07;17.1
2022-07-08;17.7
2022-07-09;16.7
2022-07-10;17.1
2022-07-11;17.6
2022-07-12;17.6
2022-07-13;18.7
2022-07-14;15.9
2022-07-15;16.1
2022-07-16;16.3
2022-07-17;16.8
2022-07-18;17.5
2022-07-19;19.5
2022-07-20;23.5
2022-07-21;22.6
2022-07-22;17.3
2022-07-23;16.7
2022-07-24;17.0
2022-07-25;18.1
2022-07-26;16.2
2022-07-27;17.2
2022-07-28;17.1
2022-07-29;18.5
2022-07-30;18.6
2022-07-31;19.2
2022-08-01;18.1
2022-08-02;16.2
2022-08-03;18.9
2022-08-04;19.4
2022-08-05;16.4
2022-08-06;15.7
2022-08-07;15.1
2022-08-08;17.2
2022-08-09;16.7
2022-08-10;18.1
2022-08-11;19.0
2022-08-12;20.5
2022-08-13;21.6
2022-08-14;22.1
2022-08-15;21.9
2022-08-16;21.5
2022-08-17;20.5
2022-08-18;20.1
2022-08-19;19.2
2022-08-20;19.1
2022-08-21;18.4
2022-08-22;17.4
2022-08-23;17.4
2022-08-24;20.2
2022-08-25;20.0
2022-08-26;21.0
2022-08-27;19.2
2022-08-28;17.6
2022-08-29;15.6
2022-08-30;15.0
2022-08-31;14.9
2022-09-01;14.9
2022-09-02;14.8
2022-09-03;15.2
2022-09-04;16.6
2022-09-05;16.4
2022-09-06;15.3
2022-09-07;14.5
2022-09-08;15.0
2022-09-09;13.3
2022-09-10;14.7
2022-09-11;14.1
2022-09-12;14.9
2022-09-13;15.2
2022-09-14;15.5
2022-09-15;14.2
2022-09-16;14.7
2022-09-17;13.4
2022-09-18;12.9
2022-09-19;11.5
2022-09-20;11.7
2022-09-21;11.4
2022-09-22;12.1
2022-09-23;13.5
2022-09-24;13.2
2022-09-25;12.3
2022-09-26;11.5
2022-09-27;11.6
2022-09-28;12.7
2022-09-29;10.8
2022-09-30;9.8
2022-10-01;11.1
2022-10-02;12.1
2022-10-03;11.3
2022-10-04;12.0
2022-10-05;13.9
2022-10-06;13.1
2022-10-07;13.5
2022-10-08;12.2
2022-10-09;12.0
2022-10-10;12.2
2022-10-11;11.5
2022-10-12;11.8
2022-10-13;12.0
2022-10-14;11.7
2022-10-15;12.7
2022-10-16;12.3
2022-10-17;11.6
2022-10-18;11.6
2022-10-19;6.2
2022-10-20;7.3
2022-10-21;7.9
2022-10-22;9.4
2022-10-23;11.0
2022-10-24;11.0
2022-10-25;12.4
2022-10-26;11.9
2022-10-27;12.5
2022-10-28;12.8
2022-10-29;12.3
2022-10-30;11.3
2022-10-31;12.0
2022-11-01;11.1
2022-11-02;11.5
2022-11-03;10.9
2022-11-04;10.1
2022-11-05;10.4
2022-11-06;10.8
2022-11-07;10.4
2022-11-08;11.6
2022-11-09;11.7
2022-11-10;10.9
2022-11-11;12.8
2022-11-12;12.4
2022-11-13;11.2
2022-11-14;9.1
2022-11-15;8.0
2022-11-16;5.9
2022-11-17;3.9
2022-11-18;2.7
2022-11-19;1.5
2022-11-20;-0.2
2022-11-21;-1.1
2022-11-22;0.2
2022-11-23;3.8
2022-11-24;4.9
2022-11-25;4.9
2022-11-26;4.4
2022-11-27;4.7
2022-11-28;6.3
2022-11-29;4.5
2022-11-30;3.0
2022-12-01;2.4
