Datum;Dygnsmedel
2021-03-02;3.0
2021-03-03;1.5
2021-03-04;1.3
2021-03-05;-0.3
2021-03-06;2.2
2021-03-07;2.2
2021-03-08;-1.4
2021-03-09;-0.9
2021-03-10;-0.1
2021-03-11;1.3
2021-03-12;4.6
2021-03-13;3.7
2021-03-14;2.9
2021-03-15;2.3
2021-03-16;1.6
2021-03-17;1.9
2021-03-18;1.4
2021-03-19;0.5
2021-03-20;3.2
2021-03-21;4.7
2021-03-22;4.0
2021-03-23;3.7
2021-03-24;6.3
2021-03-25;6.2
2021-03-26;6.6
2021-03-27;5.8
2021-03-28;5.4
2021-03-29;7.8
2021-03-30;9.3
2021-03-31;8.6
2021-04-01;5.5
2021-04-02;5.3
2021-04-03;4.3
2021-04-04;4.3
2021-04-05;3.0
2021-04-06;4.3
2021-04-07;5.1
2021-04-08;2.8
2021-04-09;5.1
2021-04-10;4.5
2021-04-11;0.4
2021-04-12;3.3
2021-04-13;3.3
2021-04-14;2.8
2021-04-15;4.8
2021-04-16;5.4
2021-04-17;9.8
2021-04-18;11.7
2021-04-19;11.6
2021-04-20;10.2
2021-04-21;6.4
2021-04-22;6.4
2021-04-23;5.7
2021-04-24;3.8
2021-04-25;4.4
2021-04-26;4.7
2021-04-27;5.2
2021-04-28;7.5
2021-04-29;8.1
2021-04-30;7.5
2021-05-01;6.6
2021-05-02;7.0
2021-05-03;6.4
2021-05-04;4.3
2021-05-05;6.0
2021-05-06;3.9
2021-05-07;5.4
2021-05-08;5.8
2021-05-09;9.7
2021-05-10;15.7
2021-05-11;10.5
2021-05-12;12.9
2021-05-13;13.8
2021-05-14;13.6
2021-05-15;9.9
2021-05-16;10.4
2021-05-17;10.6
2021-05-18;11.2
2021-05-19;10.2
2021-05-20;9.8
2021-05-21;9.5
2021-05-22;11.5
2021-05-23;10.2
2021-05-24;11.4
2021-05-25;12.0
2021-05-26;10.2
2021-05-27;10.2
2021-05-28;12.6
2021-05-29;14.4
2021-05-30;16.7
2021-05-31;14.7
2021-06-01;15.4
2021-06-02;16.4
2021-06-03;18.3
2021-06-04;18.4
2021-06-05;18.7
2021-06-06;19.2
2021-06-07;15.9
2021-06-08;14.5
2021-06-09;16.2
2021-06-10;16.7
2021-06-11;17.3
2021-06-12;15.4
2021-06-13;15.2
2021-06-14;15.1
2021-06-15;13.7
2021-06-16;15.1
2021-06-17;20.3
2021-06-18;22.4
2021-06-19;22.3
2021-06-20;18.9
2021-06-21;15.9
2021-06-22;16.9
2021-06-23;16.6
2021-06-24;16.6
2021-06-25;15.5
2021-06-26;16.0
2021-06-27;15.9
2021-06-28;17.7
2021-06-29;17.9
2021-06-30;17.2
2021-07-01;15.6
2021-07-02;19.1
2021-07-03;20.1
2021-07-04;Nan
2021-07-05;Nan
2021-07-06;4.1
2021-07-07;Nan
2021-07-08;Nan
2021-07-09;14.0
2021-07-10;17.1
2021-07-11;14.2
2021-07-12;19.1
2021-07-13;22.0
2021-07-14;24.4
2021-07-15;24.3
2021-07-16;24.6
2021-07-17;22.0
2021-07-18;18.5
2021-07-19;18.3
2021-07-20;18.1
2021-07-21;18.2
2021-07-22;18.5
2021-07-23;19.2
2021-07-24;20.7
2021-07-25;21.6
2021-07-26;20.4
2021-07-27;18.9
2021-07-28;18.5
2021-07-29;15.7
2021-07-30;16.5
2021-07-31;17.6
2021-08-01;15.9
2021-08-02;14.2
2021-08-03;14.3
2021-08-04;14.3
2021-08-05;15.9
2021-08-06;17.5
2021-08-07;17.2
2021-08-08;15.1
2021-08-09;17.8
2021-08-10;15.1
2021-08-11;15.8
2021-08-12;17.7
2021-08-13;17.6
2021-08-14;15.2
2021-08-15;16.3
2021-08-16;14.1
2021-08-17;13.2
2021-08-18;15.5
2021-08-19;16.3
2021-08-20;15.1
2021-08-21;14.4
2021-08-22;14.1
2021-08-23;15.7
2021-08-24;15.7
2021-08-25;17.8
2021-08-26;13.0
2021-08-27;14.3
2021-08-28;13.6
2021-08-29;16.3
2021-08-30;15.3
2021-08-31;15.9
2021-09-01;14.6
2021-09-02;14.3
2021-09-03;14.8
2021-09-04;12.5
2021-09-05;11.3
2021-09-06;12.5
2021-09-07;13.9
2021-09-08;17.5
2021-09-09;17.7
2021-09-10;17.6
2021-09-11;16.9
2021-09-12;16.6
2021-09-13;14.7
2021-09-14;12.0
2021-09-15;13.7
2021-09-16;10.8
2021-09-17;9.7
2021-09-18;10.8
2021-09-19;9.8
2021-09-20;9.3
2021-09-21;9.1
2021-09-22;12.1
2021-09-23;12.2
2021-09-24;11.5
2021-09-25;13.5
2021-09-26;11.1
2021-09-27;14.1
2021-09-28;13.2
2021-09-29;11.0
2021-09-30;11.5
2021-10-01;11.0
2021-10-02;11.3
2021-10-03;13.4
2021-10-04;12.5
2021-10-05;11.9
2021-10-06;11.7
2021-10-07;11.6
2021-10-08;11.7
2021-10-09;11.0
2021-10-10;9.9
2021-10-11;10.6
2021-10-12;6.4
2021-10-13;3.9
2021-10-14;10.7
2021-10-15;10.4
2021-10-16;10.0
2021-10-17;7.8
2021-10-18;3.1
2021-10-19;7.7
2021-10-20;13.1
2021-10-21;9.5
2021-10-22;7.5
2021-10-23;6.1
2021-10-24;8.1
2021-10-25;8.9
2021-10-26;9.9
2021-10-27;11.3
2021-10-28;12.0
2021-10-29;10.5
2021-10-30;9.9
2021-10-31;9.0
2021-11-01;10.5
2021-11-02;7.4
2021-11-03;7.3
2021-11-04;6.3
2021-11-05;6.8
2021-11-06;10.1
2021-11-07;8.1
2021-11-08;2.7
2021-11-09;5.7
2021-11-10;10.1
2021-11-11;7.0
2021-11-12;4.6
2021-11-13;6.7
2021-11-14;5.7
2021-11-15;4.6
2021-11-16;5.4
2021-11-17;6.2
2021-11-18;8.1
2021-11-19;11.1
2021-11-20;8.0
2021-11-21;2.7
2021-11-22;0.8
2021-11-23;3.1
2021-11-24;7.5
2021-11-25;4.9
2021-11-26;-1.3
2021-11-27;Nan
2021-11-28;-0.2
2021-11-29;-5.0
2021-11-30;-4.3
2021-12-01;-5.0
2021-12-02;-5.2
2021-12-03;-7.3
2021-12-04;-3.3
2021-12-05;-4.7
2021-12-06;-6.3
2021-12-07;-3.9
2021-12-08;-1.3
2021-12-09;-0.3
2021-12-10;0.0
2021-12-11;0.2
2021-12-12;-0.3
2021-12-13;2.5
2021-12-14;5.1
2021-12-15;6.6
2021-12-16;5.4
2021-12-17;1.3
2021-12-18;2.2
2021-12-19;2.8
2021-12-20;-0.8
2021-12-21;-4.2
2021-12-22;-1.9
2021-12-23;0.4
2021-12-24;-5.6
2021-12-25;-5.8
2021-12-26;-7.4
2021-12-27;-3.9
2021-12-28;-0.9
2021-12-29;0.2
2021-12-30;4.3
2021-12-31;6.3
2022-01-01;2.6
2022-01-02;7.1
2022-01-03;6.1
2022-01-04;2.2
2022-01-05;-0.2
2022-01-06;-4.7
2022-01-07;-0.5
2022-01-08;0.8
2022-01-09;0.2
2022-01-10;-0.5
2022-01-11;-0.4
2022-01-12;4.2
2022-01-13;7.1
2022-01-14;5.3
2022-01-15;-0.1
2022-01-16;4.6
2022-01-17;2.7
2022-01-18;1.4
2022-01-19;4.6
2022-01-20;0.1
2022-01-21;0.7
2022-01-22;-0.2
2022-01-23;3.5
2022-01-24;5.2
2022-01-25;3.4
2022-01-26;5.3
2022-01-27;5.6
2022-01-28;2.9
2022-01-29;4.9
2022-01-30;3.6
2022-01-31;-2.5
2022-02-01;-1.4
2022-02-02;-2.2
2022-02-03;1.1
2022-02-04;3.8
2022-02-05;3.4
2022-02-06;2.7
2022-02-07;2.7
2022-02-08;5.1
2022-02-09;4.9
2022-02-10;4.0
2022-02-11;Nan
2022-02-12;2.5
2022-02-13;2.7
2022-02-14;4.2
2022-02-15;4.4
2022-02-16;3.2
2022-02-17;2.4
2022-02-18;3.5
2022-02-19;1.7
2022-02-20;1.1
2022-02-21;1.4
2022-02-22;-1.4
2022-02-23;3.2
2022-02-24;3.4
2022-02-25;2.7
2022-02-26;0.3
2022-02-27;1.1
2022-02-28;2.4
2022-03-01;2.2
2022-03-02;2.9
2022-03-03;1.0
2022-03-04;-0.3
2022-03-05;-1.6
2022-03-06;2.3
2022-03-07;1.5
2022-03-08;-0.4
2022-03-09;1.0
2022-03-10;1.6
2022-03-11;2.4
2022-03-12;4.1
2022-03-13;4.9
2022-03-14;5.5
2022-03-15;2.3
2022-03-16;3.6
2022-03-17;2.9
2022-03-18;5.6
2022-03-19;3.2
2022-03-20;3.9
2022-03-21;4.6
2022-03-22;3.9
2022-03-23;4.0
2022-03-24;4.2
2022-03-25;6.3
2022-03-26;7.0
2022-03-27;5.6
2022-03-28;6.9
2022-03-29;1.5
2022-03-30;-0.5
2022-03-31;-0.4
2022-04-01;-0.3
2022-04-02;-0.3
2022-04-03;2.2
2022-04-04;3.5
2022-04-05;1.5
2022-04-06;-0.8
2022-04-07;2.7
2022-04-08;1.0
2022-04-09;3.8
2022-04-10;5.8
2022-04-11;5.3
2022-04-12;4.6
2022-04-13;7.5
2022-04-14;8.2
2022-04-15;6.6
2022-04-16;5.3
2022-04-17;6.3
2022-04-18;7.4
2022-04-19;11.2
2022-04-20;11.5
2022-04-21;12.1
2022-04-22;11.4
2022-04-23;10.0
2022-04-24;8.4
2022-04-25;6.9
2022-04-26;7.5
2022-04-27;7.6
2022-04-28;8.6
2022-04-29;8.3
2022-04-30;9.8
2022-05-01;10.2
2022-05-02;8.8
2022-05-03;9.8
2022-05-04;8.7
2022-05-05;9.2
2022-05-06;10.1
2022-05-07;11.5
2022-05-08;9.7
2022-05-09;11.2
2022-05-10;12.1
2022-05-11;11.1
2022-05-12;10.6
2022-05-13;10.5
2022-05-14;11.5
2022-05-15;11.9
2022-05-16;11.0
2022-05-17;11.4
2022-05-18;13.4
2022-05-19;15.2
2022-05-20;13.2
2022-05-21;10.4
2022-05-22;11.8
2022-05-23;13.4
2022-05-24;12.5
2022-05-25;12.1
2022-05-26;11.6
2022-05-27;11.0
2022-05-28;11.2
2022-05-29;13.0
2022-05-30;11.8
2022-05-31;12.5
2022-06-01;12.5
2022-06-02;11.6
2022-06-03;12.9
2022-06-04;13.6
2022-06-05;15.9
2022-06-06;16.4
2022-06-07;15.8
2022-06-08;13.2
2022-06-09;15.7
2022-06-10;15.0
2022-06-11;16.5
2022-06-12;14.4
2022-06-13;13.9
2022-06-14;15.6
2022-06-15;15.6
2022-06-16;14.4
2022-06-17;16.2
2022-06-18;16.0
2022-06-19;14.6
2022-06-20;15.4
2022-06-21;14.9
2022-06-22;15.2
2022-06-23;15.5
2022-06-24;20.4
2022-06-25;22.5
2022-06-26;22.2
2022-06-27;22.1
2022-06-28;17.6
2022-06-29;18.1
2022-06-30;21.2
2022-07-01;22.1
2022-07-02;17.6
2022-07-03;Nan
2022-07-04;8.4
2022-07-05;12.5
2022-07-06;16.1
2022-07-07;16.7
2022-07-08;17.8
2022-07-09;16.9
2022-07-10;16.2
2022-07-11;13.7
2022-07-12;16.8
2022-07-13;18.8
2022-07-14;15.7
2022-07-15;15.7
2022-07-16;15.7
2022-07-17;16.2
2022-07-18;15.6
2022-07-19;20.7
2022-07-20;23.6
2022-07-21;24.8
2022-07-22;18.1
2022-07-23;16.3
2022-07-24;16.9
2022-07-25;18.1
2022-07-26;15.6
2022-07-27;16.7
2022-07-28;17.0
2022-07-29;12.7
2022-07-30;18.5
2022-07-31;18.9
2022-08-01;17.6
2022-08-02;15.1
2022-08-03;18.9
2022-08-04;19.7
2022-08-05;16.1
2022-08-06;15.2
2022-08-07;14.6
2022-08-08;16.3
2022-08-09;15.5
2022-08-10;17.8
2022-08-11;19.9
2022-08-12;20.5
2022-08-13;20.3
2022-08-14;21.7
2022-08-15;21.1
2022-08-16;21.5
2022-08-17;20.4
2022-08-18;20.4
2022-08-19;20.0
2022-08-20;18.4
2022-08-21;16.6
2022-08-22;15.4
2022-08-23;14.6
2022-08-24;17.5
2022-08-25;17.3
2022-08-26;19.6
2022-08-27;17.7
2022-08-28;16.9
2022-08-29;14.9
2022-08-30;13.0
2022-08-31;12.7
2022-09-01;11.6
2022-09-02;12.6
2022-09-03;13.5
2022-09-04;13.3
2022-09-05;14.0
2022-09-06;13.2
2022-09-07;12.1
2022-09-08;13.0
2022-09-09;12.3
2022-09-10;14.1
2022-09-11;13.6
2022-09-12;13.4
2022-09-13;14.4
2022-09-14;14.7
2022-09-15;13.1
2022-09-16;12.9
2022-09-17;9.5
2022-09-18;9.5
2022-09-19;9.9
2022-09-20;10.5
2022-09-21;9.1
2022-09-22;10.3
2022-09-23;11.3
2022-09-24;12.3
2022-09-25;10.5
2022-09-26;10.3
2022-09-27;6.4
2022-09-28;7.3
2022-09-29;10.2
2022-09-30;8.4
2022-10-01;10.1
2022-10-02;11.2
2022-10-03;10.0
2022-10-04;10.0
2022-10-05;13.9
2022-10-06;12.3
2022-10-07;13.4
2022-10-08;10.9
2022-10-09;10.2
2022-10-10;10.9
2022-10-11;10.0
2022-10-12;10.1
2022-10-13;10.8
2022-10-14;10.7
2022-10-15;12.0
2022-10-16;11.3
2022-10-17;10.7
2022-10-18;11.1
2022-10-19;4.8
2022-10-20;4.6
2022-10-21;6.1
2022-10-22;9.0
2022-10-23;10.8
2022-10-24;10.6
2022-10-25;12.1
2022-10-26;11.6
2022-10-27;13.0
2022-10-28;13.2
2022-10-29;12.5
2022-10-30;11.2
2022-10-31;12.6
2022-11-01;11.1
2022-11-02;10.7
2022-11-03;9.8
2022-11-04;9.5
2022-11-05;9.4
2022-11-06;10.1
2022-11-07;9.8
2022-11-08;11.3
