Datum;Dygnsmedel
2020-08-25;16.2
2020-08-26;13.1
2020-08-27;14.1
2020-08-28;12.7
2020-08-29;13.7
2020-08-30;13.4
2020-08-31;12.6
2020-09-01;12.6
2020-09-02;14.1
2020-09-03;13.8
2020-09-04;11.8
2020-09-05;13.6
2020-09-06;13.0
2020-09-07;13.1
2020-09-08;14.5
2020-09-09;12.8
2020-09-10;12.1
2020-09-11;7.7
2020-09-12;Nan
2020-09-13;Nan
2020-09-14;Nan
2020-09-15;15.7
2020-09-16;13.3
2020-09-17;8.6
2020-09-18;11.4
2020-09-19;11.9
2020-09-20;12.7
2020-09-21;Nan
2020-09-22;11.4
2020-09-23;13.3
2020-09-24;Nan
2020-09-25;11.8
2020-09-26;10.2
2020-09-27;Nan
2020-09-28;11.9
2020-09-29;13.1
2020-09-30;12.5
2020-10-01;11.7
2020-10-02;13.9
2020-10-03;13.8
2020-10-04;10.3
2020-10-05;11.8
2020-10-06;11.6
2020-10-07;10.7
2020-10-08;10.2
2020-10-09;10.3
2020-10-10;7.9
2020-10-11;6.7
2020-10-12;7.7
2020-10-13;6.8
2020-10-14;5.2
2020-10-15;5.8
2020-10-16;4.7
2020-10-17;3.3
2020-10-18;4.2
2020-10-19;2.0
2020-10-20;6.4
2020-10-21;7.6
2020-10-22;8.6
2020-10-23;8.1
2020-10-24;7.9
2020-10-25;8.1
2020-10-26;Nan
2020-10-27;Nan
2020-10-28;Nan
2020-10-29;5.8
2020-10-30;4.9
2020-10-31;Nan
2020-11-01;Nan
2020-11-02;Nan
2020-11-03;8.1
2020-11-04;6.3
2020-11-05;9.4
2020-11-06;Nan
2020-11-07;Nan
2020-11-08;5.6
2020-11-09;Nan
2020-11-10;Nan
2020-11-11;Nan
2020-11-12;Nan
2020-11-13;Nan
2020-11-14;6.1
2020-11-15;5.0
2020-11-16;5.2
2020-11-17;Nan
2020-11-18;Nan
2020-11-19;Nan
2020-11-20;0.4
2020-11-21;6.2
2020-11-22;7.1
2020-11-23;5.9
2020-11-24;6.7
2020-11-25;1.3
2020-11-26;Nan
2020-11-27;-1.6
2020-11-28;-2.6
2020-11-29;Nan
2020-11-30;Nan
2020-12-01;1.5
2020-12-02;1.5
2020-12-03;Nan
2020-12-04;Nan
2020-12-05;Nan
2020-12-06;Nan
2020-12-07;Nan
2020-12-08;2.4
2020-12-09;Nan
2020-12-10;Nan
2020-12-11;0.7
2020-12-12;Nan
2020-12-13;Nan
2020-12-14;Nan
2020-12-15;4.4
2020-12-16;4.7
2020-12-17;4.6
2020-12-18;Nan
2020-12-19;Nan
2020-12-20;Nan
2020-12-21;Nan
