Datum;Dygnsmedel
2021-12-20;-0.5
2021-12-21;-2.7
2021-12-22;-0.2
2021-12-23;1.8
2021-12-24;-3.6
2021-12-25;-3.8
2021-12-26;-6.7
2021-12-27;-2.0
2021-12-28;0.3
2021-12-29;1.1
2021-12-30;4.6
2021-12-31;6.4
2022-01-01;4.2
2022-01-02;6.7
2022-01-03;6.1
2022-01-04;3.4
2022-01-05;1.3
2022-01-06;-3.2
2022-01-07;2.1
2022-01-08;2.2
2022-01-09;1.2
2022-01-10;0.9
2022-01-11;2.2
2022-01-12;5.1
2022-01-13;7.2
2022-01-14;6.0
2022-01-15;0.8
2022-01-16;5.4
2022-01-17;4.1
2022-01-18;2.0
2022-01-19;5.4
2022-01-20;1.6
2022-01-21;2.5
2022-01-22;2.0
2022-01-23;5.2
2022-01-24;6.2
2022-01-25;3.8
2022-01-26;6.2
2022-01-27;6.4
2022-01-28;4.4
2022-01-29;6.4
2022-01-30;5.2
2022-01-31;-1.0
2022-02-01;1.0
2022-02-02;-0.6
2022-02-03;2.8
2022-02-04;5.1
2022-02-05;4.7
2022-02-06;3.9
2022-02-07;4.6
2022-02-08;6.1
2022-02-09;5.6
2022-02-10;5.2
2022-02-11;1.4
2022-02-12;3.8
2022-02-13;4.1
2022-02-14;5.1
2022-02-15;5.3
2022-02-16;3.9
2022-02-17;3.9
2022-02-18;4.4
2022-02-19;2.8
2022-02-20;2.5
2022-02-21;2.9
2022-02-22;0.7
2022-02-23;3.6
2022-02-24;4.5
2022-02-25;4.6
2022-02-26;0.0
2022-02-27;3.4
2022-02-28;4.1
2022-03-01;3.7
2022-03-02;2.6
2022-03-03;-0.1
2022-03-04;-1.6
2022-03-05;-1.7
2022-03-06;0.9
2022-03-07;-0.6
2022-03-08;0.9
2022-03-09;1.3
2022-03-10;3.0
2022-03-11;4.1
2022-03-12;6.3
2022-03-13;5.0
2022-03-14;3.6
2022-03-15;2.6
2022-03-16;3.1
2022-03-17;4.1
2022-03-18;Nan
2022-03-19;0.5
2022-03-20;0.6
2022-03-21;6.7
2022-03-22;3.2
2022-03-23;2.0
2022-03-24;4.9
2022-03-25;4.1
2022-03-26;5.9
2022-03-27;5.2
2022-03-28;7.6
2022-03-29;3.9
2022-03-30;-1.1
2022-03-31;-1.3
2022-04-01;0.6
2022-04-02;-1.4
2022-04-03;1.0
2022-04-04;4.9
2022-04-05;1.5
2022-04-06;0.8
2022-04-07;4.1
2022-04-08;3.0
2022-04-09;4.3
2022-04-10;7.6
2022-04-11;4.8
2022-04-12;5.6
2022-04-13;8.7
2022-04-14;8.5
2022-04-15;5.4
2022-04-16;3.2
2022-04-17;3.3
2022-04-18;4.0
2022-04-19;7.8
2022-04-20;13.7
2022-04-21;10.7
2022-04-22;9.9
2022-04-23;8.3
2022-04-24;7.9
2022-04-25;6.0
2022-04-26;5.9
2022-04-27;6.8
2022-04-28;7.4
2022-04-29;7.2
2022-04-30;8.6
2022-05-01;9.0
2022-05-02;9.5
2022-05-03;8.5
2022-05-04;9.1
2022-05-05;10.3
2022-05-06;11.1
2022-05-07;10.2
2022-05-08;7.0
2022-05-09;11.3
2022-05-10;12.2
2022-05-11;11.2
2022-05-12;11.8
2022-05-13;11.2
2022-05-14;12.7
2022-05-15;12.8
2022-05-16;8.9
2022-05-17;7.4
2022-05-18;13.7
2022-05-19;15.3
2022-05-20;11.8
2022-05-21;12.1
2022-05-22;13.9
2022-05-23;14.1
2022-05-24;13.4
2022-05-25;13.4
2022-05-26;11.4
2022-05-27;12.4
2022-05-28;13.6
2022-05-29;13.6
2022-05-30;12.9
2022-05-31;11.4
2022-06-01;13.4
2022-06-02;13.0
2022-06-03;14.2
2022-06-04;12.4
2022-06-05;15.8
2022-06-06;17.0
2022-06-07;Nan
2022-06-08;Nan
2022-06-09;16.1
2022-06-10;15.8
2022-06-11;16.7
2022-06-12;15.1
2022-06-13;15.3
2022-06-14;13.7
2022-06-15;16.2
2022-06-16;14.0
2022-06-17;17.1
2022-06-18;16.8
2022-06-19;16.0
2022-06-20;16.0
2022-06-21;13.4
2022-06-22;16.0
2022-06-23;16.3
2022-06-24;21.2
2022-06-25;22.4
2022-06-26;21.9
2022-06-27;20.5
2022-06-28;15.6
2022-06-29;15.3
2022-06-30;22.4
2022-07-01;18.9
2022-07-02;18.8
2022-07-03;18.2
2022-07-04;16.7
2022-07-05;16.4
2022-07-06;17.7
2022-07-07;15.3
2022-07-08;19.0
2022-07-09;18.4
2022-07-10;18.6
2022-07-11;18.0
2022-07-12;14.6
2022-07-13;19.6
2022-07-14;16.9
2022-07-15;17.5
2022-07-16;17.9
2022-07-17;17.9
2022-07-18;18.3
2022-07-19;21.1
2022-07-20;23.3
2022-07-21;23.4
2022-07-22;18.1
2022-07-23;17.5
2022-07-24;17.6
2022-07-25;18.5
2022-07-26;16.7
2022-07-27;18.5
2022-07-28;17.5
2022-07-29;14.8
2022-07-30;19.4
2022-07-31;20.0
2022-08-01;19.4
2022-08-02;16.7
2022-08-03;19.2
2022-08-04;19.2
2022-08-05;17.3
2022-08-06;16.9
2022-08-07;15.9
2022-08-08;15.2
2022-08-09;16.9
2022-08-10;18.9
2022-08-11;20.7
2022-08-12;15.9
2022-08-13;21.3
2022-08-14;17.4
2022-08-15;22.6
2022-08-16;22.1
2022-08-17;21.6
2022-08-18;20.6
2022-08-19;20.2
2022-08-20;17.0
2022-08-21;14.7
2022-08-22;18.2
2022-08-23;12.5
2022-08-24;19.9
2022-08-25;13.4
2022-08-26;21.0
2022-08-27;19.4
2022-08-28;18.4
2022-08-29;12.3
2022-08-30;9.7
2022-08-31;11.5
2022-09-01;9.4
2022-09-02;11.5
2022-09-03;16.1
2022-09-04;12.6
2022-09-05;13.3
2022-09-06;14.4
2022-09-07;Nan
2022-09-08;14.7
2022-09-09;12.8
2022-09-10;14.8
2022-09-11;13.5
2022-09-12;14.1
2022-09-13;15.0
2022-09-14;15.5
2022-09-15;13.8
2022-09-16;14.1
2022-09-17;13.2
2022-09-18;11.4
2022-09-19;10.9
2022-09-20;10.4
2022-09-21;9.2
2022-09-22;10.1
2022-09-23;12.7
2022-09-24;13.3
2022-09-25;10.7
2022-09-26;11.2
2022-09-27;11.7
2022-09-28;12.7
2022-09-29;10.1
2022-09-30;8.2
2022-10-01;11.1
2022-10-02;11.9
2022-10-03;9.0
2022-10-04;10.2
2022-10-05;13.8
2022-10-06;12.7
2022-10-07;13.2
2022-10-08;11.4
2022-10-09;11.1
2022-10-10;11.9
2022-10-11;10.6
2022-10-12;11.5
2022-10-13;11.9
2022-10-14;11.3
2022-10-15;12.2
2022-10-16;11.5
2022-10-17;10.7
2022-10-18;11.4
2022-10-19;4.5
2022-10-20;4.2
2022-10-21;7.7
2022-10-22;9.4
2022-10-23;11.3
2022-10-24;10.8
2022-10-25;12.2
2022-10-26;11.6
2022-10-27;12.7
2022-10-28;12.8
2022-10-29;12.1
2022-10-30;11.0
2022-10-31;12.3
2022-11-01;10.8
2022-11-02;11.1
2022-11-03;10.5
2022-11-04;9.9
2022-11-05;9.8
2022-11-06;10.6
2022-11-07;9.9
2022-11-08;11.3
2022-11-09;11.2
2022-11-10;10.4
2022-11-11;12.9
2022-11-12;12.5
2022-11-13;11.5
2022-11-14;9.4
2022-11-15;7.9
2022-11-16;5.6
2022-11-17;3.5
2022-11-18;2.3
2022-11-19;1.2
2022-11-20;-0.4
2022-11-21;-0.7
2022-11-22;-0.1
2022-11-23;3.7
2022-11-24;4.8
2022-11-25;5.0
2022-11-26;Nan
2022-11-27;Nan
2022-11-28;6.2
2022-11-29;4.4
2022-11-30;2.5
2022-12-01;1.8
