Datum;Dygnsmedel
2019-11-23;Nan
2019-11-24;5.6
2019-11-25;5.5
2019-11-26;5.7
2019-11-27;5.9
2019-11-28;7.2
2019-11-29;1.7
2019-11-30;1.2
2019-12-01;2.8
2019-12-02;0.8
2019-12-03;3.7
2019-12-04;7.2
2019-12-05;7.0
2019-12-06;8.1
2019-12-07;7.1
2019-12-08;7.0
2019-12-09;5.6
2019-12-10;2.2
2019-12-11;6.1
2019-12-12;5.2
2019-12-13;4.2
2019-12-14;4.0
2019-12-15;4.9
2019-12-16;5.4
2019-12-17;5.6
2019-12-18;5.4
2019-12-19;5.6
2019-12-20;6.3
2019-12-21;6.6
2019-12-22;5.5
2019-12-23;4.1
2019-12-24;6.1
2019-12-25;4.3
2019-12-26;0.4
2019-12-27;-0.3
2019-12-28;0.3
2019-12-29;4.8
2019-12-30;7.1
2019-12-31;5.9
2020-01-01;6.1
2020-01-02;5.9
2020-01-03;6.3
2020-01-04;4.9
2020-01-05;3.5
2020-01-06;6.6
2020-01-07;6.0
2020-01-08;7.1
2020-01-09;4.8
2020-01-10;3.3
2020-01-11;4.4
2020-01-12;6.3
2020-01-13;4.7
2020-01-14;5.9
2020-01-15;7.2
2020-01-16;6.3
2020-01-17;5.7
2020-01-18;6.1
2020-01-19;4.6
2020-01-20;5.7
2020-01-21;6.8
2020-01-22;5.3
2020-01-23;4.8
2020-01-24;6.4
2020-01-25;6.0
2020-01-26;5.7
2020-01-27;5.1
2020-01-28;5.4
2020-01-29;4.8
2020-01-30;4.2
2020-01-31;4.4
2020-02-01;6.9
2020-02-02;5.4
2020-02-03;2.9
2020-02-04;3.0
2020-02-05;3.4
2020-02-06;6.1
2020-02-07;3.2
2020-02-08;4.0
2020-02-09;5.0
2020-02-10;6.1
2020-02-11;4.4
2020-02-12;5.1
2020-02-13;3.7
2020-02-14;2.7
2020-02-15;5.6
2020-02-16;7.0
2020-02-17;5.9
2020-02-18;5.8
2020-02-19;4.8
2020-02-20;4.7
2020-02-21;5.2
2020-02-22;6.1
2020-02-23;5.9
2020-02-24;4.3
2020-02-25;2.1
2020-02-26;0.9
2020-02-27;-0.7
2020-02-28;1.8
2020-02-29;3.3
2020-03-01;4.9
2020-03-02;4.9
2020-03-03;3.4
2020-03-04;4.0
2020-03-05;4.3
2020-03-06;3.3
2020-03-07;3.0
2020-03-08;5.5
2020-03-09;6.1
2020-03-10;5.3
2020-03-11;6.6
2020-03-12;5.2
2020-03-13;3.4
2020-03-14;1.6
2020-03-15;5.2
2020-03-16;7.1
2020-03-17;6.0
2020-03-18;6.1
2020-03-19;6.2
2020-03-20;4.5
2020-03-21;2.6
2020-03-22;2.3
2020-03-23;3.8
2020-03-24;4.8
2020-03-25;5.5
2020-03-26;5.1
2020-03-27;4.3
2020-03-28;5.0
2020-03-29;2.5
2020-03-30;4.0
2020-03-31;3.9
2020-04-01;6.4
2020-04-02;6.0
2020-04-03;5.4
2020-04-04;5.5
2020-04-05;8.3
2020-04-06;9.4
2020-04-07;8.9
2020-04-08;8.5
2020-04-09;8.1
2020-04-10;6.3
2020-04-11;5.8
2020-04-12;8.1
2020-04-13;5.7
2020-04-14;5.7
2020-04-15;8.2
2020-04-16;8.8
2020-04-17;6.9
2020-04-18;6.9
2020-04-19;8.2
2020-04-20;9.6
2020-04-21;12.2
2020-04-22;12.3
2020-04-23;12.0
2020-04-24;10.8
2020-04-25;9.8
2020-04-26;9.6
2020-04-27;7.4
2020-04-28;8.3
2020-04-29;8.1
2020-04-30;7.1
2020-05-01;9.3
2020-05-02;9.1
2020-05-03;8.2
2020-05-04;8.2
2020-05-05;8.6
2020-05-06;7.5
2020-05-07;11.5
2020-05-08;10.7
2020-05-09;11.7
2020-05-10;10.3
2020-05-11;6.1
2020-05-12;6.4
2020-05-13;7.2
2020-05-14;8.4
2020-05-15;9.9
2020-05-16;9.3
2020-05-17;9.3
2020-05-18;10.9
2020-05-19;10.8
2020-05-20;12.2
2020-05-21;13.5
2020-05-22;15.3
2020-05-23;11.4
2020-05-24;11.6
2020-05-25;13.8
2020-05-26;14.7
2020-05-27;13.6
2020-05-28;14.1
2020-05-29;14.2
2020-05-30;17.1
2020-05-31;17.9
2020-06-01;19.0
2020-06-02;19.1
2020-06-03;18.4
2020-06-04;17.8
2020-06-05;14.1
2020-06-06;13.5
2020-06-07;15.4
2020-06-08;15.7
2020-06-09;15.3
2020-06-10;16.5
2020-06-11;19.9
2020-06-12;20.7
2020-06-13;21.2
