Datum;Dygnsmedel
2016-01-06;-8.8
2016-01-07;-6.4
2016-01-08;-3.3
2016-01-09;-2.3
2016-01-10;1.6
2016-01-11;1.9
2016-01-12;1.4
2016-01-13;-2.6
2016-01-14;-6.4
2016-01-15;-9.3
2016-01-16;-7.1
2016-01-17;-11.1
2016-01-18;-4.1
2016-01-19;-1.3
2016-01-20;-6.7
2016-01-21;-8.9
2016-01-22;-2.2
2016-01-23;-1.7
2016-01-24;1.9
2016-01-25;3.1
2016-01-26;4.5
2016-01-27;6.2
2016-01-28;4.7
2016-01-29;5.4
2016-01-30;4.0
2016-01-31;3.1
2016-02-01;2.5
2016-02-02;5.3
2016-02-03;3.2
2016-02-04;1.3
2016-02-05;0.6
2016-02-06;6.0
2016-02-07;6.3
2016-02-08;5.1
2016-02-09;5.4
2016-02-10;3.6
2016-02-11;2.4
2016-02-12;-1.9
2016-02-13;-1.9
2016-02-14;-3.9
2016-02-15;-4.4
2016-02-16;-3.7
2016-02-17;-1.2
2016-02-18;-0.4
2016-02-19;1.1
2016-02-20;1.5
2016-02-21;2.8
2016-02-22;3.6
2016-02-23;1.1
2016-02-24;-0.9
2016-02-25;0.0
2016-02-26;-0.3
2016-02-27;-0.8
2016-02-28;0.6
2016-02-29;0.0
2016-03-01;-0.6
2016-03-02;0.9
2016-03-03;2.7
2016-03-04;2.1
2016-03-05;2.1
2016-03-06;0.7
2016-03-07;0.9
2016-03-08;2.0
2016-03-09;2.6
2016-03-10;2.4
2016-03-11;2.1
2016-03-12;2.8
2016-03-13;1.9
2016-03-14;6.2
2016-03-15;7.1
2016-03-16;4.8
2016-03-17;4.0
2016-03-18;4.5
2016-03-19;4.1
2016-03-20;4.1
2016-03-21;3.6
2016-03-22;4.3
2016-03-23;4.6
2016-03-24;3.2
2016-03-25;4.9
2016-03-26;4.5
2016-03-27;6.4
2016-03-28;7.7
2016-03-29;7.1
2016-03-30;6.5
2016-03-31;5.7
2016-04-01;4.2
2016-04-02;7.4
2016-04-03;8.4
2016-04-04;11.0
2016-04-05;9.0
2016-04-06;6.9
2016-04-07;6.4
2016-04-08;6.1
2016-04-09;5.9
2016-04-10;6.1
2016-04-11;8.6
2016-04-12;8.4
2016-04-13;9.8
2016-04-14;7.7
2016-04-15;6.8
2016-04-16;8.2
2016-04-17;5.9
2016-04-18;7.3
2016-04-19;8.1
2016-04-20;7.1
2016-04-21;7.4
2016-04-22;7.4
2016-04-23;5.0
2016-04-24;3.1
2016-04-25;3.1
2016-04-26;5.5
2016-04-27;5.4
2016-04-28;5.4
2016-04-29;7.3
2016-04-30;8.5
2016-05-01;8.3
2016-05-02;9.7
2016-05-03;11.1
2016-05-04;9.3
2016-05-05;9.2
2016-05-06;11.3
2016-05-07;15.4
2016-05-08;14.6
2016-05-09;17.1
2016-05-10;16.0
2016-05-11;16.3
2016-05-12;14.8
2016-05-13;13.6
2016-05-14;7.5
2016-05-15;8.8
2016-05-16;10.8
2016-05-17;12.1
2016-05-18;12.4
2016-05-19;13.7
2016-05-20;13.4
2016-05-21;12.7
2016-05-22;17.9
2016-05-23;17.4
2016-05-24;16.9
2016-05-25;11.9
2016-05-26;12.7
2016-05-27;13.5
2016-05-28;14.5
2016-05-29;17.2
2016-05-30;20.1
2016-05-31;20.5
2016-06-01;21.6
2016-06-02;23.4
2016-06-03;19.8
2016-06-04;20.7
2016-06-05;16.7
2016-06-06;17.7
2016-06-07;18.4
2016-06-08;15.4
2016-06-09;12.9
2016-06-10;13.7
2016-06-11;13.2
2016-06-12;15.1
2016-06-13;14.0
2016-06-14;16.4
2016-06-15;16.0
2016-06-16;17.0
2016-06-17;17.8
2016-06-18;16.8
2016-06-19;14.4
2016-06-20;14.7
2016-06-21;16.0
2016-06-22;14.0
2016-06-23;18.2
2016-06-24;20.6
2016-06-25;19.3
2016-06-26;18.9
2016-06-27;16.9
2016-06-28;16.7
2016-06-29;16.2
2016-06-30;14.8
2016-07-01;15.8
2016-07-02;16.5
2016-07-03;15.2
2016-07-04;15.7
2016-07-05;15.9
2016-07-06;14.9
2016-07-07;16.3
2016-07-14;16.2
2016-07-15;17.2
2016-07-16;16.2
2016-07-17;16.0
2016-07-18;16.8
2016-07-19;17.1
2016-07-20;18.6
2016-07-21;21.6
2016-07-22;18.6
2016-07-23;21.5
2016-07-24;22.7
2016-07-25;22.3
2016-07-26;20.1
2016-07-27;19.1
2016-07-28;18.3
2016-07-29;18.9
2016-07-30;17.9
2016-07-31;16.4
2016-08-01;16.1
2016-08-02;15.7
2016-08-03;15.9
2016-08-04;18.0
2016-08-05;17.8
2016-08-06;16.0
2016-08-07;16.2
2016-08-08;13.8
2016-08-09;14.6
2016-08-10;11.7
2016-08-11;11.8
2016-08-12;12.3
2016-08-13;16.1
2016-08-14;16.2
2016-08-15;15.8
2016-08-16;14.7
2016-08-17;16.6
2016-08-18;16.2
2016-08-19;16.4
2016-08-20;14.4
2016-08-21;16.8
2016-08-22;16.8
2016-08-23;17.2
2016-08-24;17.9
2016-08-25;20.1
2016-08-26;20.2
2016-08-27;17.1
2016-08-28;13.6
2016-08-29;15.1
2016-08-30;14.8
2016-08-31;16.6
2016-09-01;16.9
2016-09-02;15.6
2016-09-03;16.3
2016-09-04;15.7
2016-09-05;13.8
2016-09-06;15.4
2016-09-07;18.9
2016-09-08;20.1
2016-09-09;16.8
2016-09-10;16.7
2016-09-11;16.6
2016-09-12;14.9
2016-09-13;18.6
2016-09-14;19.9
2016-09-15;19.4
2016-09-16;17.9
2016-09-17;13.7
2016-09-18;14.1
2016-09-19;15.0
2016-09-20;14.4
2016-09-21;15.3
2016-09-22;13.9
2016-09-23;13.9
2016-09-24;14.0
2016-09-25;14.3
2016-09-26;14.0
2016-09-27;14.3
2016-09-28;14.6
2016-09-29;12.7
2016-09-30;12.2
2016-10-01;11.7
2016-10-02;11.2
2016-10-03;9.8
2016-10-04;7.1
2016-10-05;6.7
2016-10-06;7.7
2016-10-07;8.6
2016-10-08;8.3
2016-10-09;8.0
2016-10-10;8.1
2016-10-11;7.0
2016-10-12;7.5
2016-10-13;6.8
2016-10-14;5.1
2016-10-15;5.7
2016-10-16;6.1
2016-10-17;7.8
2016-10-18;7.6
2016-10-19;9.1
2016-10-20;9.0
2016-10-21;6.9
2016-10-22;4.5
2016-10-23;4.3
2016-10-24;6.4
2016-10-25;6.2
2016-10-26;6.2
2016-10-27;9.9
2016-10-28;9.7
2016-10-29;7.5
2016-10-30;4.9
2016-10-31;7.6
2016-11-01;8.4
2016-11-02;2.5
2016-11-03;-0.1
2016-11-04;1.8
2016-11-05;2.8
2016-11-06;-0.3
2016-11-07;-3.2
2016-11-08;-2.8
2016-11-09;-2.6
2016-11-10;-0.4
2016-11-11;-1.8
2016-11-12;-0.9
2016-11-13;1.9
2016-11-14;2.9
2016-11-15;6.3
2016-11-16;4.8
2016-11-17;5.2
2016-11-18;5.7
2016-11-19;5.0
2016-11-20;5.0
2016-11-21;7.5
2016-11-22;8.2
2016-11-23;6.6
2016-11-24;3.9
2016-11-25;5.8
2016-11-26;7.8
2016-11-27;3.5
2016-11-28;-0.8
2016-11-29;2.1
2016-11-30;4.4
2016-12-01;3.7
2016-12-02;0.8
2016-12-03;-2.3
2016-12-04;1.5
2016-12-05;3.8
2016-12-06;-0.6
2016-12-07;3.4
2016-12-08;7.3
2016-12-09;7.5
2016-12-10;7.3
2016-12-11;5.5
2016-12-12;-0.4
2016-12-13;4.0
2016-12-14;-1.8
2016-12-15;-2.3
2016-12-16;1.7
2016-12-17;3.1
2016-12-18;3.8
2016-12-19;5.3
2016-12-20;4.6
2016-12-21;3.3
2016-12-22;4.9
2016-12-23;4.2
2016-12-24;4.3
2016-12-25;6.0
2016-12-26;5.6
2016-12-27;5.4
2016-12-28;1.3
2016-12-29;5.8
2016-12-30;6.7
2016-12-31;7.8
2017-01-01;4.1
2017-01-02;-2.5
2017-01-03;0.2
2017-01-04;-0.8
2017-01-05;-8.7
2017-01-06;-6.3
2017-01-07;0.2
2017-01-08;-0.2
2017-01-09;3.3
2017-01-10;1.5
2017-01-11;3.2
2017-01-12;3.9
2017-01-13;0.9
2017-01-14;0.3
2017-01-15;-3.3
2017-01-16;-4.7
2017-01-17;-0.9
2017-01-18;4.0
2017-01-19;6.5
2017-01-20;5.3
2017-01-21;0.3
2017-01-22;2.7
2017-01-23;3.0
2017-01-24;2.5
2017-01-25;4.1
2017-01-26;1.9
2017-01-27;-0.2
2017-01-28;-0.7
2017-01-29;0.4
2017-01-30;2.3
2017-01-31;-0.2
2017-02-01;0.8
2017-02-02;1.3
2017-02-03;1.7
2017-02-04;1.3
2017-02-05;1.7
2017-02-06;0.3
2017-02-07;-2.6
2017-02-08;-2.9
2017-02-09;-2.5
2017-02-10;-0.9
2017-02-11;-1.0
2017-02-12;-1.0
2017-02-13;-3.8
2017-02-14;-2.0
2017-02-15;-2.0
2017-02-16;0.8
2017-02-17;2.8
2017-02-18;0.7
2017-02-19;4.5
2017-02-20;5.2
2017-02-21;4.4
2017-02-22;4.5
2017-02-23;3.0
2017-02-24;-1.1
2017-02-25;-1.1
2017-02-26;4.3
2017-02-27;6.2
2017-02-28;5.1
2017-03-01;3.8
2017-03-02;3.6
2017-03-03;4.9
2017-03-04;5.2
2017-03-05;1.1
2017-03-06;-1.2
2017-03-07;-2.5
2017-03-08;-1.3
2017-03-09;3.8
2017-03-10;3.1
2017-03-11;1.8
2017-03-12;2.3
2017-03-13;2.9
2017-03-14;5.4
2017-03-15;5.5
2017-03-16;6.4
2017-03-17;5.1
2017-03-18;4.1
2017-03-19;1.5
2017-03-20;4.4
2017-03-21;5.3
2017-03-22;5.1
2017-03-23;2.7
2017-03-24;3.3
2017-03-25;6.3
2017-03-26;4.6
2017-03-27;5.4
2017-03-28;5.8
2017-03-29;4.9
2017-03-30;5.0
2017-03-31;9.9
2017-04-01;10.0
2017-04-02;8.5
2017-04-03;8.0
2017-04-04;7.4
2017-04-05;7.0
2017-04-06;6.4
2017-04-07;9.8
2017-04-08;7.9
2017-04-09;8.2
2017-04-10;8.4
2017-04-11;6.6
2017-04-12;7.7
