Datum;Dygnsmedel
2019-12-05;Nan
2019-12-06;7.7
2019-12-07;5.6
2019-12-08;5.2
2019-12-09;4.5
2019-12-10;-1.1
2019-12-11;4.8
2019-12-12;4.2
2019-12-13;2.9
2019-12-14;2.9
2019-12-15;3.2
2019-12-16;4.0
2019-12-17;4.8
2019-12-18;3.9
2019-12-19;4.3
2019-12-20;5.6
2019-12-21;6.3
2019-12-22;4.8
2019-12-23;4.3
2019-12-24;5.3
2019-12-25;4.4
2019-12-26;0.3
2019-12-27;-1.1
2019-12-28;-1.7
2019-12-29;3.7
2019-12-30;7.0
2019-12-31;3.3
2020-01-01;4.2
2020-01-02;5.2
2020-01-03;5.3
2020-01-04;2.5
2020-01-05;0.1
2020-01-06;6.1
2020-01-07;5.3
2020-01-08;6.4
2020-01-09;4.0
2020-01-10;1.9
2020-01-11;3.1
2020-01-12;5.7
2020-01-13;4.4
2020-01-14;4.6
2020-01-15;7.2
2020-01-16;6.0
2020-01-17;5.4
2020-01-18;5.3
2020-01-19;1.0
2020-01-20;3.5
2020-01-21;6.1
2020-01-22;3.4
2020-01-23;2.6
2020-01-24;6.0
2020-01-25;4.6
2020-01-26;5.2
2020-01-27;4.5
2020-01-28;4.8
2020-01-29;3.9
2020-01-30;3.5
2020-01-31;3.3
2020-02-01;6.8
2020-02-02;3.6
2020-02-03;-0.2
2020-02-04;1.1
2020-02-05;0.5
2020-02-06;4.9
2020-02-07;1.1
2020-02-08;3.7
2020-02-09;5.1
2020-02-10;5.5
2020-02-11;3.5
2020-02-12;4.0
2020-02-13;1.8
2020-02-14;1.0
2020-02-15;5.0
2020-02-16;7.1
2020-02-17;5.1
2020-02-18;5.1
2020-02-19;4.1
2020-02-20;3.4
2020-02-21;5.1
2020-02-22;4.9
2020-02-23;4.9
2020-02-24;1.5
2020-02-25;0.9
2020-02-26;-0.5
2020-02-27;-2.7
2020-02-28;0.0
2020-02-29;1.9
2020-03-01;3.9
2020-03-02;4.3
2020-03-03;2.5
2020-03-04;3.5
2020-03-05;2.5
2020-03-06;2.0
2020-03-07;2.4
2020-03-08;4.8
2020-03-09;5.6
2020-03-10;4.5
2020-03-11;6.1
2020-03-12;4.6
2020-03-13;2.5
2020-03-14;0.3
2020-03-15;3.8
2020-03-16;6.8
2020-03-17;5.7
2020-03-18;6.5
2020-03-19;4.7
2020-03-20;3.3
2020-03-21;0.8
2020-03-22;0.7
2020-03-23;2.1
2020-03-24;4.0
2020-03-25;3.8
2020-03-26;4.6
2020-03-27;3.4
2020-03-28;3.1
2020-03-29;2.0
2020-03-30;2.0
2020-03-31;2.0
2020-04-01;6.4
2020-04-02;5.4
2020-04-03;4.7
2020-04-04;4.1
2020-04-05;9.3
2020-04-06;10.4
2020-04-07;9.4
2020-04-08;8.2
2020-04-09;8.4
2020-04-10;6.1
2020-04-11;4.4
2020-04-12;7.6
2020-04-13;4.5
2020-04-14;4.7
2020-04-15;8.4
2020-04-16;9.3
2020-04-17;6.3
2020-04-18;5.6
2020-04-19;8.4
2020-04-20;10.0
2020-04-21;11.7
2020-04-22;13.2
2020-04-23;9.0
2020-04-24;9.1
2020-04-25;9.7
2020-04-26;8.9
2020-04-27;7.3
2020-04-28;6.3
2020-04-29;7.4
2020-04-30;6.3
2020-05-01;8.6
2020-05-02;9.2
2020-05-03;10.8
2020-05-04;8.1
2020-05-05;8.4
2020-05-06;10.0
2020-05-07;11.7
2020-05-08;10.6
2020-05-09;11.3
2020-05-10;7.9
2020-05-11;6.1
2020-05-12;6.3
2020-05-13;7.2
2020-05-14;6.7
2020-05-15;10.4
2020-05-16;9.4
2020-05-17;9.3
2020-05-18;10.4
2020-05-19;11.1
2020-05-20;12.4
2020-05-21;14.5
2020-05-22;15.9
2020-05-23;12.9
2020-05-24;11.4
2020-05-25;14.7
2020-05-26;15.6
2020-05-27;14.2
2020-05-28;15.4
2020-05-29;15.8
2020-05-30;16.1
2020-05-31;17.2
2020-06-01;20.2
2020-06-02;20.2
2020-06-03;16.7
2020-06-04;18.0
2020-06-05;13.6
2020-06-06;13.1
2020-06-07;14.6
2020-06-08;15.5
2020-06-09;16.4
2020-06-10;17.5
2020-06-11;19.0
2020-06-12;20.3
2020-06-13;21.6
2020-06-14;21.0
2020-06-15;21.2
2020-06-16;20.8
2020-06-17;19.4
2020-06-18;21.1
2020-06-19;20.9
2020-06-20;20.2
2020-06-21;14.1
2020-06-22;17.5
2020-06-23;20.7
2020-06-24;22.0
2020-06-25;23.7
2020-06-26;24.3
2020-06-27;24.6
2020-06-28;20.9
2020-06-29;17.2
2020-06-30;16.2
2020-07-01;17.4
2020-07-02;16.5
2020-07-03;14.9
2020-07-04;16.0
2020-07-05;16.0
2020-07-06;13.9
2020-07-07;13.4
2020-07-08;15.2
2020-07-09;15.7
2020-07-10;15.1
2020-07-11;15.4
2020-07-12;16.1
2020-07-13;17.4
2020-07-14;14.7
2020-07-15;16.7
2020-07-16;16.8
2020-07-17;18.5
2020-07-18;20.3
2020-07-19;20.6
2020-07-20;18.3
2020-07-21;17.0
2020-07-22;16.1
2020-07-23;16.8
2020-07-24;14.8
2020-07-25;16.0
2020-07-26;17.4
2020-07-27;18.8
2020-07-28;16.8
2020-07-29;14.5
2020-07-30;15.6
2020-07-31;19.7
2020-08-01;20.2
2020-08-02;17.4
2020-08-03;17.2
2020-08-04;16.8
2020-08-05;13.7
2020-08-06;20.9
2020-08-07;21.6
2020-08-08;22.2
2020-08-09;22.6
2020-08-10;21.9
