Datum;Dygnsmedel
2021-01-01;1.4
2021-01-02;0.5
2021-01-03;0.5
2021-01-04;-0.6
2021-01-05;0.0
2021-01-06;-1.8
2021-01-07;-1.4
2021-01-08;-0.8
2021-01-09;-1.1
2021-01-10;0.2
2021-01-11;2.4
2021-01-12;-1.8
2021-01-13;-2.3
2021-01-14;-2.5
2021-01-15;-6.6
2021-01-16;-8.4
2021-01-17;-3.5
2021-01-18;-1.2
2021-01-19;0.4
2021-01-20;2.0
2021-01-21;4.1
2021-01-22;3.1
2021-01-23;2.8
2021-01-24;1.0
2021-01-25;0.2
2021-01-26;-2.0
2021-01-27;-1.9
2021-01-28;-3.0
2021-01-29;-5.3
2021-01-30;-6.0
2021-01-31;-6.5
2021-02-01;-1.6
2021-02-02;-3.5
2021-02-03;-4.8
2021-02-04;-7.5
2021-02-05;-8.7
2021-02-06;-8.2
2021-02-07;-7.4
2021-02-08;-6.7
2021-02-09;-6.5
2021-02-10;-6.6
2021-02-11;-7.2
2021-02-12;-8.5
2021-02-13;-8.2
2021-02-14;-8.4
2021-02-15;-3.0
2021-02-16;-1.2
2021-02-17;-0.8
2021-02-18;-0.4
2021-02-19;1.8
2021-02-20;3.6
2021-02-21;3.0
2021-02-22;1.7
2021-02-23;3.3
2021-02-24;4.7
2021-02-25;5.0
2021-02-26;2.5
2021-02-27;-0.9
2021-02-28;0.3
2021-03-01;0.1
2021-03-02;0.4
2021-03-03;1.4
2021-03-04;0.3
2021-03-05;-3.0
2021-03-06;-1.1
2021-03-07;2.1
2021-03-08;Nan
2021-03-09;-3.5
2021-03-10;-0.4
2021-03-11;1.6
2021-03-12;3.4
2021-03-13;2.7
2021-03-14;1.2
2021-03-15;2.2
2021-03-16;-1.3
2021-03-17;0.0
2021-03-18;-1.4
2021-03-19;-0.1
2021-03-20;2.6
2021-03-21;2.5
2021-03-22;0.2
2021-03-23;1.8
2021-03-24;4.3
2021-03-25;3.9
2021-03-26;4.0
2021-03-27;4.2
2021-03-28;3.8
2021-03-29;7.0
2021-03-30;5.9
2021-03-31;6.2
2021-04-01;3.8
2021-04-02;2.3
2021-04-03;2.5
2021-04-04;2.3
2021-04-05;2.3
2021-04-06;1.8
2021-04-07;2.6
2021-04-08;1.2
2021-04-09;4.0
2021-04-10;2.2
2021-04-11;1.0
2021-04-12;2.4
2021-04-13;2.6
2021-04-14;-1.1
2021-04-15;2.5
2021-04-16;3.3
2021-04-17;7.0
2021-04-18;8.2
2021-04-19;8.0
2021-04-20;6.8
2021-04-21;5.0
2021-04-22;4.8
2021-04-23;3.6
2021-04-24;2.3
2021-04-25;2.8
2021-04-26;2.8
2021-04-27;1.6
2021-04-28;3.5
2021-04-29;3.4
2021-04-30;5.4
2021-05-01;3.1
2021-05-02;3.9
2021-05-03;6.6
2021-05-04;4.5
2021-05-05;4.1
2021-05-06;3.2
2021-05-07;3.6
2021-05-08;2.7
2021-05-09;6.7
2021-05-10;9.7
2021-05-11;11.3
2021-05-12;8.9
2021-05-13;8.8
2021-05-14;9.6
2021-05-15;9.9
2021-05-16;Nan
2021-05-17;7.2
2021-05-18;7.4
2021-05-19;Nan
2021-05-20;Nan
