Datum;Dygnsmedel
2022-01-01;3.1
2022-01-02;6.8
2022-01-03;6.2
2022-01-04;1.6
2022-01-05;0.3
2022-01-06;-6.1
2022-01-07;-1.3
2022-01-08;1.1
2022-01-09;0.6
2022-01-10;-0.9
2022-01-11;-1.2
2022-01-12;3.8
2022-01-13;7.1
2022-01-14;5.3
2022-01-15;-2.8
2022-01-16;3.7
2022-01-17;2.1
2022-01-18;-1.2
2022-01-19;4.7
2022-01-20;0.2
2022-01-21;-1.0
2022-01-22;-2.1
2022-01-23;2.8
2022-01-24;5.1
2022-01-25;1.5
2022-01-26;4.8
2022-01-27;5.6
2022-01-28;2.4
2022-01-29;5.0
2022-01-30;3.8
2022-01-31;-3.8
2022-02-01;-2.6
2022-02-02;-3.1
2022-02-03;-0.8
2022-02-04;3.3
2022-02-05;3.0
2022-02-06;2.5
2022-02-07;0.3
2022-02-08;4.9
2022-02-09;4.9
2022-02-10;3.3
2022-02-11;Nan
2022-02-12;1.6
2022-02-13;2.6
2022-02-14;4.7
2022-02-15;4.8
2022-02-16;3.1
2022-02-17;2.6
2022-02-18;3.6
2022-02-19;2.0
2022-02-20;1.0
2022-02-21;2.0
2022-02-22;-1.5
2022-02-23;3.1
2022-02-24;3.6
2022-02-25;1.7
2022-02-26;-1.6
2022-02-27;-0.6
2022-02-28;1.1
2022-03-01;1.5
2022-03-02;2.1
2022-03-03;0.0
2022-03-04;-1.9
2022-03-05;-3.1
2022-03-06;-1.3
2022-03-07;-1.0
2022-03-08;-2.2
2022-03-09;0.4
2022-03-10;0.7
2022-03-11;2.1
2022-03-12;3.7
2022-03-13;3.8
2022-03-14;4.1
2022-03-15;0.0
2022-03-16;2.2
2022-03-17;2.6
2022-03-18;5.1
2022-03-19;1.6
2022-03-20;2.1
2022-03-21;2.4
2022-03-22;2.1
2022-03-23;1.4
2022-03-24;1.9
2022-03-25;4.9
2022-03-26;5.7
2022-03-27;3.5
2022-03-28;4.8
2022-03-29;0.0
2022-03-30;-2.3
2022-03-31;-2.7
2022-04-01;-2.5
2022-04-02;-1.6
2022-04-03;0.1
2022-04-04;3.5
2022-04-05;1.3
2022-04-06;-2.3
2022-04-07;4.3
2022-04-08;1.1
2022-04-09;1.9
2022-04-10;4.8
2022-04-11;2.5
2022-04-12;3.1
2022-04-13;7.2
2022-04-14;7.8
2022-04-15;6.3
2022-04-16;4.2
2022-04-17;4.5
2022-04-18;6.3
2022-04-19;8.8
2022-04-20;9.8
2022-04-21;9.7
2022-04-22;9.9
2022-04-23;9.3
2022-04-24;8.5
2022-04-25;5.9
2022-04-26;6.4
2022-04-27;6.8
2022-04-28;7.8
2022-04-29;7.1
2022-04-30;8.4
2022-05-01;8.8
2022-05-02;6.9
2022-05-03;9.3
2022-05-04;7.0
2022-05-05;7.9
2022-05-06;8.2
2022-05-07;10.9
2022-05-08;8.0
2022-05-09;9.7
2022-05-10;11.2
2022-05-11;11.1
2022-05-12;10.7
2022-05-13;9.9
2022-05-14;11.3
2022-05-15;11.4
2022-05-16;10.4
2022-05-17;10.1
2022-05-18;11.7
2022-05-19;14.5
2022-05-20;13.3
2022-05-21;10.3
2022-05-22;10.9
2022-05-23;12.4
2022-05-24;12.5
2022-05-25;12.1
2022-05-26;11.3
2022-05-27;10.0
2022-05-28;10.9
2022-05-29;12.1
2022-05-30;10.7
2022-05-31;11.6
2022-06-01;11.1
2022-06-02;10.4
2022-06-03;12.4
2022-06-04;12.9
2022-06-05;14.6
2022-06-06;15.3
2022-06-07;15.6
2022-06-08;12.8
2022-06-09;14.2
2022-06-10;14.6
2022-06-11;15.7
2022-06-12;13.5
2022-06-13;13.3
2022-06-14;15.0
2022-06-15;14.1
2022-06-16;13.7
2022-06-17;14.6
2022-06-18;15.7
2022-06-19;13.9
2022-06-20;13.5
2022-06-21;13.5
2022-06-22;14.6
2022-06-23;15.3
2022-06-24;19.1
2022-06-25;21.5
2022-06-26;22.4
2022-06-27;23.2
2022-06-28;17.5
2022-06-29;16.7
2022-06-30;20.1
2022-07-01;21.3
2022-07-02;17.2
2022-07-03;Nan
2022-07-04;Nan
2022-07-05;11.6
2022-07-06;14.3
2022-07-07;16.1
2022-07-08;15.8
2022-07-09;16.1
2022-07-10;15.0
2022-07-11;13.1
2022-07-12;15.7
2022-07-13;18.2
2022-07-14;15.2
2022-07-15;13.9
2022-07-16;14.3
2022-07-17;15.1
2022-07-18;15.3
2022-07-19;18.8
2022-07-20;21.4
2022-07-21;22.6
2022-07-22;18.0
2022-07-23;16.0
2022-07-24;16.3
2022-07-25;18.1
2022-07-26;15.2
2022-07-27;16.0
2022-07-28;15.8
2022-07-29;14.8
2022-07-30;17.2
2022-07-31;17.6
2022-08-01;16.6
2022-08-02;13.3
2022-08-03;18.6
2022-08-04;19.3
2022-08-05;16.0
2022-08-06;14.3
2022-08-07;13.7
2022-08-08;15.6
2022-08-09;14.1
2022-08-10;15.8
2022-08-11;17.4
2022-08-12;18.0
2022-08-13;18.7
2022-08-14;20.0
2022-08-15;19.8
2022-08-16;21.0
2022-08-17;19.4
2022-08-18;18.4
2022-08-19;19.2
2022-08-20;17.9
2022-08-21;14.9
2022-08-22;13.9
2022-08-23;13.9
2022-08-24;16.6
2022-08-25;16.8
2022-08-26;19.8
2022-08-27;16.3
2022-08-28;16.9
2022-08-29;14.7
2022-08-30;11.7
2022-08-31;11.2
2022-09-01;10.2
2022-09-02;10.5
2022-09-03;11.3
2022-09-04;11.7
2022-09-05;12.0
2022-09-06;11.0
2022-09-07;9.7
2022-09-08;12.3
2022-09-09;13.4
2022-09-10;14.2
2022-09-11;13.7
2022-09-12;11.4
2022-09-13;14.2
2022-09-14;13.0
2022-09-15;11.0
2022-09-16;9.9
2022-09-17;7.5
2022-09-18;7.3
2022-09-19;8.0
2022-09-20;8.4
2022-09-21;6.3
2022-09-22;7.5
2022-09-23;8.6
2022-09-24;11.2
2022-09-25;10.1
2022-09-26;10.3
2022-09-27;11.4
2022-09-28;12.5
2022-09-29;10.0
2022-09-30;7.2
2022-10-01;10.2
2022-10-02;10.5
2022-10-03;7.7
2022-10-04;7.9
2022-10-05;13.7
2022-10-06;12.5
2022-10-07;13.4
2022-10-08;10.3
2022-10-09;6.2
2022-10-10;10.5
2022-10-11;8.6
2022-10-12;7.8
2022-10-13;10.7
2022-10-14;10.0
2022-10-15;12.0
2022-10-16;11.4
2022-10-17;9.5
2022-10-18;11.6
2022-10-19;3.1
2022-10-20;1.8
2022-10-21;6.1
2022-10-22;8.8
2022-10-23;10.4
2022-10-24;10.8
2022-10-25;12.3
2022-10-26;11.3
2022-10-27;12.9
2022-10-28;13.1
2022-10-29;12.6
2022-10-30;11.0
2022-10-31;12.4
2022-11-01;11.1
2022-11-02;10.4
2022-11-03;8.8
2022-11-04;9.7
2022-11-05;9.5
2022-11-06;10.1
2022-11-07;9.7
2022-11-08;11.2
2022-11-09;11.6
2022-11-10;10.7
2022-11-11;13.0
2022-11-12;12.6
2022-11-13;11.1
2022-11-14;8.6
2022-11-15;7.7
2022-11-16;5.3
2022-11-17;3.3
2022-11-18;2.4
2022-11-19;0.7
2022-11-20;-0.7
2022-11-21;-1.1
2022-11-22;-0.1
2022-11-23;3.4
2022-11-24;4.4
2022-11-25;4.3
2022-11-26;4.6
2022-11-27;5.9
2022-11-28;5.9
2022-11-29;4.1
2022-11-30;1.4
2022-12-01;1.6
