Datum;Dygnsmedel
2021-01-01;1.7
2021-01-02;0.9
2021-01-03;0.6
2021-01-04;-0.5
2021-01-05;0.2
2021-01-06;-1.5
2021-01-07;-1.1
2021-01-08;-0.4
2021-01-09;-1.1
2021-01-10;0.8
2021-01-11;2.9
2021-01-12;-0.9
2021-01-13;-1.5
2021-01-14;-2.4
2021-01-15;-7.0
2021-01-16;-8.6
2021-01-17;-3.2
2021-01-18;-0.2
2021-01-19;1.0
2021-01-20;2.4
2021-01-21;4.3
2021-01-22;3.3
2021-01-23;2.7
2021-01-24;1.5
2021-01-25;0.3
2021-01-26;-2.8
2021-01-27;-1.6
2021-01-28;-3.5
2021-01-29;-5.4
2021-01-30;-5.7
2021-01-31;-6.8
2021-02-01;-0.5
2021-02-02;-3.3
2021-02-03;-5.3
2021-02-04;-8.5
2021-02-05;-9.2
2021-02-06;-8.5
2021-02-07;-7.4
2021-02-08;-6.6
2021-02-09;-7.0
2021-02-10;-7.2
2021-02-11;-7.8
2021-02-12;-9.1
2021-02-13;-8.1
2021-02-14;-8.0
2021-02-15;-2.5
2021-02-16;-0.8
2021-02-17;-0.7
2021-02-18;-0.4
2021-02-19;1.6
2021-02-20;2.9
2021-02-21;5.2
2021-02-22;4.6
2021-02-23;3.7
2021-02-24;4.3
2021-02-25;3.8
2021-02-26;4.6
2021-02-27;1.2
2021-02-28;1.7
2021-03-01;2.3
2021-03-02;2.2
2021-03-03;1.5
2021-03-04;1.2
2021-03-05;-0.8
2021-03-06;1.9
2021-03-07;2.9
2021-03-08;-1.4
2021-03-09;-0.5
2021-03-10;1.0
2021-03-11;1.9
2021-03-12;4.7
2021-03-13;4.1
2021-03-14;3.3
2021-03-15;3.6
2021-03-16;1.3
2021-03-17;2.3
2021-03-18;1.5
2021-03-19;0.8
2021-03-20;3.1
2021-03-21;4.9
2021-03-22;2.9
2021-03-23;4.2
2021-03-24;6.0
2021-03-25;5.5
2021-03-26;6.5
2021-03-27;6.2
2021-03-28;5.2
2021-03-29;7.1
2021-03-30;8.8
2021-03-31;7.6
2021-04-01;5.8
2021-04-02;5.3
2021-04-03;4.6
2021-04-04;5.3
2021-04-05;3.8
2021-04-06;4.6
2021-04-07;5.8
2021-04-08;3.8
2021-04-09;5.6
2021-04-10;4.9
2021-04-11;1.5
2021-04-12;4.2
2021-04-13;4.4
2021-04-14;3.8
2021-04-15;6.5
2021-04-16;7.3
2021-04-17;10.9
2021-04-18;12.9
2021-04-19;12.9
2021-04-20;11.3
2021-04-21;7.5
2021-04-22;7.3
2021-04-23;6.4
2021-04-24;4.5
2021-04-25;5.7
2021-04-26;5.6
2021-04-27;5.4
2021-04-28;7.1
2021-04-29;9.5
2021-04-30;8.6
2021-05-01;7.4
2021-05-02;7.8
2021-05-03;8.5
2021-05-04;5.5
2021-05-05;6.6
2021-05-06;4.8
2021-05-07;6.5
2021-05-08;6.7
2021-05-09;9.4
2021-05-10;14.5
2021-05-11;10.9
2021-05-12;12.6
2021-05-13;13.6
2021-05-14;14.4
2021-05-15;10.4
2021-05-16;11.4
2021-05-17;11.6
2021-05-18;11.4
2021-05-19;11.5
2021-05-20;10.8
2021-05-21;10.8
2021-05-22;12.6
2021-05-23;10.8
2021-05-24;12.2
2021-05-25;12.6
2021-05-26;10.7
2021-05-27;11.4
2021-05-28;13.0
2021-05-29;12.8
2021-05-30;15.3
2021-05-31;14.1
2021-06-01;16.1
2021-06-02;16.5
2021-06-03;14.5
2021-06-04;18.9
2021-06-05;18.7
2021-06-06;19.2
2021-06-07;16.9
2021-06-08;15.0
2021-06-09;16.6
2021-06-10;17.1
2021-06-11;17.9
2021-06-12;15.9
2021-06-13;15.8
2021-06-14;15.8
2021-06-15;14.6
2021-06-16;15.0
2021-06-17;20.6
2021-06-18;21.9
2021-06-19;22.0
2021-06-20;18.7
2021-06-21;16.6
2021-06-22;17.1
2021-06-23;17.8
2021-06-24;16.3
2021-06-25;16.6
2021-06-26;16.6
2021-06-27;16.8
2021-06-28;18.0
2021-06-29;17.7
2021-06-30;18.6
2021-07-01;17.3
2021-07-02;19.0
2021-07-03;21.0
2021-07-04;21.9
2021-07-05;21.8
2021-07-06;20.5
2021-07-07;17.6
2021-07-08;21.4
2021-07-09;18.8
2021-07-10;18.3
2021-07-11;17.7
2021-07-12;20.4
2021-07-13;24.0
2021-07-14;24.1
2021-07-15;23.8
2021-07-16;24.9
2021-07-17;22.3
2021-07-18;19.6
2021-07-19;19.2
2021-07-20;18.7
2021-07-21;19.0
2021-07-22;19.2
2021-07-23;19.3
2021-07-24;20.9
2021-07-25;22.8
2021-07-26;22.4
2021-07-27;21.5
2021-07-28;20.3
2021-07-29;17.3
2021-07-30;18.0
2021-07-31;19.0
2021-08-01;17.5
2021-08-02;15.9
2021-08-03;15.3
2021-08-04;15.5
2021-08-05;16.1
2021-08-06;18.5
2021-08-07;18.2
2021-08-08;16.9
2021-08-09;19.0
2021-08-10;16.0
2021-08-11;17.0
2021-08-12;18.7
2021-08-13;18.9
2021-08-14;17.0
2021-08-15;17.4
2021-08-16;15.2
2021-08-17;13.9
2021-08-18;15.8
2021-08-19;17.4
2021-08-20;16.7
2021-08-21;15.6
2021-08-22;15.6
2021-08-23;16.8
2021-08-24;16.2
2021-08-25;19.0
2021-08-26;14.7
2021-08-27;15.3
2021-08-28;15.0
