Datum;Dygnsmedel
2019-01-01;7.1
2019-01-02;2.6
2019-01-03;2.7
2019-01-04;4.3
2019-01-05;4.3
2019-01-06;3.1
2019-01-07;4.0
2019-01-08;3.6
2019-01-09;1.0
2019-01-10;0.3
2019-01-11;4.6
2019-01-12;1.9
2019-01-13;2.8
2019-01-14;2.0
2019-01-15;1.8
2019-01-16;5.2
2019-01-17;-0.6
2019-01-18;-2.1
2019-01-19;1.0
2019-01-20;0.9
2019-01-21;1.9
2019-01-22;1.3
2019-01-23;-1.0
2019-01-24;-2.1
2019-01-25;-1.8
2019-01-26;-3.2
2019-01-27;-1.3
2019-01-28;0.6
2019-01-29;-2.0
2019-01-30;-0.9
2019-01-31;-0.2
2019-02-01;1.1
2019-02-02;1.4
2019-02-03;-0.1
2019-02-04;0.5
2019-02-05;Nan
2019-02-06;0.9
2019-02-07;Nan
2019-02-08;4.6
2019-02-09;4.4
2019-02-10;4.6
2019-02-11;3.3
2019-02-12;2.6
2019-02-13;6.2
2019-02-14;5.9
2019-02-15;4.3
2019-02-16;6.3
2019-02-17;5.8
2019-02-18;6.7
2019-02-19;5.7
2019-02-20;5.5
2019-02-21;5.2
2019-02-22;1.6
2019-02-23;3.4
2019-02-24;4.4
2019-02-25;5.6
2019-02-26;7.4
2019-02-27;6.4
2019-02-28;6.0
2019-03-01;3.2
2019-03-02;1.8
2019-03-03;5.7
2019-03-04;Nan
2019-03-05;Nan
2019-03-06;3.7
2019-03-07;6.5
2019-03-08;4.2
2019-03-09;3.7
2019-03-10;2.2
2019-03-11;1.0
2019-03-12;1.1
2019-03-13;3.7
2019-03-14;4.7
2019-03-15;4.7
2019-03-16;5.7
2019-03-17;5.1
2019-03-18;5.0
2019-03-19;4.6
2019-03-20;6.6
2019-03-21;7.6
2019-03-22;5.6
2019-03-23;7.4
2019-03-24;6.2
2019-03-25;6.4
2019-03-26;6.3
2019-03-27;8.7
2019-03-28;8.8
2019-03-29;9.2
2019-03-30;7.4
2019-03-31;6.3
2019-04-01;4.2
2019-04-02;6.9
2019-04-03;9.9
2019-04-04;12.9
2019-04-05;13.0
2019-04-06;12.5
2019-04-07;11.9
2019-04-08;7.5
2019-04-09;4.8
2019-04-10;2.8
2019-04-11;2.2
2019-04-12;5.0
2019-04-13;5.9
2019-04-14;6.8
2019-04-15;7.5
2019-04-16;7.7
2019-04-17;10.4
2019-04-18;11.5
2019-04-19;13.7
2019-04-20;13.7
2019-04-21;12.2
2019-04-22;13.0
2019-04-23;15.5
2019-04-24;15.9
2019-04-25;16.0
2019-04-26;18.1
2019-04-27;13.0
2019-04-28;11.8
2019-04-29;14.9
2019-04-30;15.7
2019-05-01;11.4
2019-05-02;10.6
2019-05-03;6.8
2019-05-04;6.5
2019-05-05;8.3
2019-05-06;7.4
2019-05-07;7.9
2019-05-08;8.7
2019-05-09;9.0
2019-05-10;10.8
2019-05-11;9.2
2019-05-12;8.1
2019-05-13;7.8
2019-05-14;9.1
2019-05-15;12.3
2019-05-16;13.2
2019-05-17;13.5
2019-05-18;14.9
2019-05-19;18.6
2019-05-20;15.2
2019-05-21;18.9
2019-05-22;15.0
2019-05-23;14.0
2019-05-24;12.4
2019-05-25;13.3
2019-05-26;11.1
2019-05-27;11.1
2019-05-28;10.3
2019-05-29;11.7
2019-05-30;11.1
2019-05-31;10.9
2019-06-01;13.3
2019-06-02;14.8
2019-06-03;17.9
2019-06-04;13.3
2019-06-05;15.9
2019-06-06;21.3
2019-06-07;14.0
2019-06-08;15.8
2019-06-09;15.3
2019-06-10;16.7
2019-06-11;16.8
2019-06-12;15.3
2019-06-13;15.2
2019-06-14;18.4
2019-06-15;20.2
2019-06-16;15.8
2019-06-17;17.7
2019-06-18;19.3
2019-06-19;22.1
2019-06-20;19.2
2019-06-21;15.9
2019-06-22;14.2
2019-06-23;14.8
2019-06-24;16.2
2019-06-25;20.9
2019-06-26;22.2
2019-06-27;15.0
2019-06-28;17.0
2019-06-29;19.2
2019-06-30;21.1
2019-07-01;17.5
2019-07-02;14.6
2019-07-03;13.0
2019-07-04;14.1
2019-07-05;12.6
2019-07-06;14.1
2019-07-07;14.6
2019-07-08;14.8
2019-07-09;18.6
2019-07-10;15.5
2019-07-11;15.2
2019-07-12;16.4
2019-07-13;17.0
2019-07-14;18.5
2019-07-15;16.6
2019-07-16;18.1
2019-07-17;16.4
2019-07-18;16.6
2019-07-19;19.7
2019-07-20;20.8
2019-07-21;19.4
2019-07-22;17.2
2019-07-23;15.7
2019-07-24;17.8
2019-07-25;20.0
2019-07-26;22.6
2019-07-27;26.0
2019-07-28;24.7
2019-07-29;26.5
2019-07-30;19.7
2019-07-31;15.4
2019-08-01;18.5
2019-08-02;19.8
2019-08-03;19.7
2019-08-04;19.5
2019-08-05;19.0
2019-08-06;18.8
2019-08-07;17.9
2019-08-08;18.7
2019-08-09;19.1
2019-08-10;17.9
2019-08-11;18.5
2019-08-12;18.9
2019-08-13;17.3
2019-08-14;16.7
2019-08-15;16.3
2019-08-16;17.3
2019-08-17;16.3
2019-08-18;17.1
2019-08-19;16.3
2019-08-20;17.4
2019-08-21;16.8
2019-08-22;16.7
2019-08-23;17.8
2019-08-24;18.8
2019-08-25;20.4
2019-08-26;21.8
2019-08-27;22.3
2019-08-28;20.9
2019-08-29;19.9
2019-08-30;18.0
2019-08-31;21.6
2019-09-01;18.6
2019-09-02;16.0
2019-09-03;16.2
2019-09-04;15.3
2019-09-05;15.3
2019-09-06;14.4
2019-09-07;15.2
2019-09-08;10.4
2019-09-09;15.4
2019-09-10;17.7
2019-09-11;16.0
2019-09-12;15.8
2019-09-13;15.2
2019-09-14;15.2
2019-09-15;14.3
2019-09-16;13.8
2019-09-17;12.0
2019-09-18;11.6
2019-09-19;10.3
2019-09-20;13.0
2019-09-21;14.9
2019-09-22;15.7
2019-09-23;13.9
2019-09-24;11.6
2019-09-25;13.9
2019-09-26;13.6
2019-09-27;13.8
2019-09-28;14.2
2019-09-29;13.3
2019-09-30;11.9
2019-10-01;10.9
2019-10-02;10.1
2019-10-03;8.5
2019-10-04;6.1
2019-10-05;5.3
2019-10-06;3.8
2019-10-07;4.3
2019-10-08;7.0
2019-10-09;10.7
2019-10-10;11.6
2019-10-11;12.0
2019-10-12;12.1
2019-10-13;12.0
2019-10-14;11.2
2019-10-15;10.9
2019-10-16;12.7
2019-10-17;12.3
2019-10-18;11.1
2019-10-19;12.1
2019-10-20;Nan
2019-10-21;Nan
2019-10-22;9.1
2019-10-23;12.0
2019-10-24;12.9
2019-10-25;12.1
2019-10-26;10.2
2019-10-27;7.6
2019-10-28;5.7
2019-10-29;3.5
2019-10-30;4.7
2019-10-31;7.4
2019-11-01;7.9
2019-11-02;6.1
2019-11-03;6.5
2019-11-04;4.4
2019-11-05;1.9
2019-11-06;0.4
2019-11-07;Nan
2019-11-08;3.9
2019-11-09;5.7
2019-11-10;Nan
2019-11-11;Nan
2019-11-12;Nan
2019-11-13;Nan
2019-11-14;Nan
2019-11-15;Nan
2019-11-16;Nan
2019-11-17;Nan
2019-11-18;8.2
2019-11-19;7.2
2019-11-20;7.6
2019-11-21;9.1
2019-11-22;8.1
2019-11-23;7.7
2019-11-24;5.7
2019-11-25;5.7
2019-11-26;5.8
2019-11-27;7.0
2019-11-28;7.7
2019-11-29;1.6
2019-11-30;-0.9
2019-12-01;0.8
2019-12-02;0.3
2019-12-03;2.7
2019-12-04;7.8
2019-12-05;7.7
2019-12-06;8.3
2019-12-07;7.4
2019-12-08;7.2
2019-12-09;5.9
2019-12-10;1.8
2019-12-11;6.2
2019-12-12;5.6
2019-12-13;4.1
2019-12-14;3.8
2019-12-15;4.6
2019-12-16;5.6
2019-12-17;6.3
2019-12-18;5.3
2019-12-19;6.0
2019-12-20;7.0
2019-12-21;7.2
2019-12-22;6.0
2019-12-23;5.3
2019-12-24;6.4
2019-12-25;4.6
2019-12-26;1.3
2019-12-27;0.3
2019-12-28;-0.4
2019-12-29;3.2
2019-12-30;7.8
2019-12-31;6.2
2020-01-01;6.3
2020-01-02;6.2
2020-01-03;6.5
2020-01-04;4.7
2020-01-05;3.0
2020-01-06;6.7
2020-01-07;6.2
2020-01-08;7.4
2020-01-09;5.2
2020-01-10;3.5
2020-01-11;4.3
2020-01-12;6.7
2020-01-13;5.4
2020-01-14;Nan
2020-01-15;Nan
2020-01-16;Nan
2020-01-17;Nan
2020-01-18;Nan
2020-01-19;Nan
2020-01-20;5.7
2020-01-21;7.2
2020-01-22;6.0
2020-01-23;4.8
2020-01-24;6.8
2020-01-25;6.4
2020-01-26;5.8
2020-01-27;5.2
2020-01-28;5.6
2020-01-29;5.0
2020-01-30;4.4
2020-01-31;4.4
2020-02-01;7.1
2020-02-02;5.5
2020-02-03;3.0
2020-02-04;3.0
2020-02-05;2.9
2020-02-06;7.1
2020-02-07;3.4
2020-02-08;4.6
2020-02-09;5.8
2020-02-10;5.6
2020-02-11;4.6
2020-02-12;5.4
2020-02-13;4.5
2020-02-14;3.1
2020-02-15;5.6
2020-02-16;6.4
2020-02-17;6.2
2020-02-18;4.5
2020-02-19;5.6
2020-02-20;4.8
2020-02-21;6.1
2020-02-22;6.1
2020-02-23;6.2
2020-02-24;4.6
2020-02-25;1.7
2020-02-26;1.2
2020-02-27;-0.2
2020-02-28;2.2
2020-02-29;3.3
2020-03-01;5.0
2020-03-02;5.9
2020-03-03;4.0
2020-03-04;4.6
2020-03-05;4.4
2020-03-06;4.0
2020-03-07;3.9
2020-03-08;6.0
2020-03-09;6.7
2020-03-10;5.5
2020-03-11;7.2
2020-03-12;5.1
2020-03-13;3.7
2020-03-14;1.8
2020-03-15;5.3
2020-03-16;7.6
2020-03-17;6.4
2020-03-18;7.1
2020-03-19;6.9
2020-03-20;5.3
2020-03-21;3.1
2020-03-22;2.4
2020-03-23;3.4
2020-03-24;4.9
2020-03-25;5.9
2020-03-26;5.6
2020-03-27;3.9
2020-03-28;5.4
2020-03-29;3.1
2020-03-30;3.5
2020-03-31;3.6
2020-04-01;6.8
2020-04-02;6.1
2020-04-03;5.8
2020-04-04;4.7
2020-04-05;9.5
2020-04-06;11.5
2020-04-07;10.4
2020-04-08;9.1
2020-04-09;8.6
2020-04-10;7.0
2020-04-11;5.1
2020-04-12;8.5
2020-04-13;6.0
2020-04-14;3.3
2020-04-15;8.6
2020-04-16;9.7
2020-04-17;7.9
2020-04-18;8.1
2020-04-19;9.3
2020-04-20;8.9
2020-04-21;10.9
2020-04-22;14.5
2020-04-23;13.1
2020-04-24;11.8
2020-04-25;10.7
2020-04-26;9.1
2020-04-27;8.1
2020-04-28;8.0
2020-04-29;8.0
2020-04-30;6.8
2020-05-01;9.4
2020-05-02;9.9
2020-05-03;8.9
2020-05-04;9.4
2020-05-05;7.1
2020-05-06;10.5
2020-05-07;9.4
2020-05-08;9.3
2020-05-09;12.0
2020-05-10;10.0
2020-05-11;5.5
2020-05-12;7.0
2020-05-13;6.0
2020-05-14;7.6
2020-05-15;10.5
2020-05-16;9.7
2020-05-17;9.5
2020-05-18;11.0
2020-05-19;9.6
2020-05-20;8.6
2020-05-21;11.4
2020-05-22;15.9
2020-05-23;10.6
2020-05-24;11.3
2020-05-25;12.4
2020-05-26;12.3
2020-05-27;12.3
2020-05-28;11.9
2020-05-29;12.4
2020-05-30;14.2
2020-05-31;15.3
2020-06-01;15.5
2020-06-02;15.1
2020-06-03;17.2
2020-06-04;Nan
2020-06-05;11.0
2020-06-06;12.0
2020-06-07;12.8
