Datum;Dygnsmedel
2022-01-01;3.8
2022-01-02;5.9
2022-01-03;5.5
2022-01-04;3.7
2022-01-05;1.2
2022-01-06;-1.1
2022-01-07;3.0
2022-01-08;2.0
2022-01-09;0.9
2022-01-10;0.8
2022-01-11;2.5
2022-01-12;4.9
2022-01-13;6.9
2022-01-14;6.2
2022-01-15;2.1
2022-01-16;5.1
2022-01-17;4.3
2022-01-18;3.3
2022-01-19;5.1
2022-01-20;1.7
2022-01-21;3.1
2022-01-22;1.9
2022-01-23;4.7
2022-01-24;5.8
2022-01-25;4.8
2022-01-26;5.9
2022-01-27;6.2
2022-01-28;4.3
2022-01-29;6.1
2022-01-30;5.2
2022-01-31;-1.0
2022-02-01;0.6
2022-02-02;-0.6
2022-02-03;3.3
2022-02-04;4.5
2022-02-05;3.9
2022-02-06;3.4
2022-02-07;3.7
2022-02-08;5.2
2022-02-09;4.9
2022-02-10;4.2
2022-02-11;2.3
2022-02-12;3.3
2022-02-13;3.7
2022-02-14;4.4
2022-02-15;4.6
2022-02-16;3.3
2022-02-17;3.1
2022-02-18;3.5
2022-02-19;2.9
2022-02-20;2.3
2022-02-21;2.0
2022-02-22;0.1
2022-02-23;3.8
2022-02-24;3.9
2022-02-25;3.3
2022-02-26;1.0
2022-02-27;2.7
2022-02-28;3.3
2022-03-01;3.3
2022-03-02;Nan
2022-03-03;2.4
2022-03-04;0.5
2022-03-05;0.3
2022-03-06;1.9
2022-03-07;0.9
2022-03-08;1.1
2022-03-09;1.2
2022-03-10;2.5
2022-03-11;2.5
2022-03-12;4.1
2022-03-13;5.2
2022-03-14;5.1
2022-03-15;2.0
2022-03-16;2.4
2022-03-17;3.6
2022-03-18;4.6
2022-03-19;2.5
2022-03-20;3.4
2022-03-21;5.2
2022-03-22;3.8
2022-03-23;1.8
2022-03-24;3.6
2022-03-25;5.7
2022-03-26;6.5
2022-03-27;5.3
2022-03-28;6.1
2022-03-29;2.4
2022-03-30;0.7
2022-03-31;0.0
2022-04-01;0.9
2022-04-02;0.6
2022-04-03;3.4
2022-04-04;4.6
2022-04-05;2.6
2022-04-06;1.5
2022-04-07;3.7
2022-04-08;2.0
2022-04-09;4.5
2022-04-10;5.8
2022-04-11;5.2
2022-04-12;4.2
2022-04-13;7.9
2022-04-14;7.3
2022-04-15;7.5
2022-04-16;5.0
2022-04-17;5.9
2022-04-18;6.3
2022-04-19;9.3
2022-04-20;12.5
2022-04-21;12.2
2022-04-22;12.3
2022-04-23;11.0
2022-04-24;9.6
2022-04-25;6.3
2022-04-26;7.4
2022-04-27;9.0
2022-04-28;8.5
2022-04-29;8.4
2022-04-30;9.3
2022-05-01;10.2
2022-05-02;9.1
2022-05-03;10.0
2022-05-04;8.3
2022-05-05;9.7
2022-05-06;8.8
2022-05-07;11.1
2022-05-08;10.7
2022-05-09;10.5
2022-05-10;11.6
2022-05-11;10.8
2022-05-12;10.6
2022-05-13;9.5
2022-05-14;11.9
2022-05-15;11.8
2022-05-16;9.5
2022-05-17;10.8
2022-05-18;13.6
2022-05-19;14.5
2022-05-20;13.5
2022-05-21;11.8
2022-05-22;13.0
2022-05-23;14.1
2022-05-24;13.0
2022-05-25;13.0
2022-05-26;10.8
2022-05-27;11.9
2022-05-28;13.1
2022-05-29;13.2
2022-05-30;12.8
2022-05-31;13.5
2022-06-01;13.5
2022-06-02;13.3
2022-06-03;14.1
2022-06-04;14.4
2022-06-05;16.3
2022-06-06;17.8
2022-06-07;15.8
2022-06-08;14.2
2022-06-09;15.5
2022-06-10;15.3
2022-06-11;16.3
2022-06-12;14.8
2022-06-13;14.9
2022-06-14;12.9
2022-06-15;Nan
2022-06-16;Nan
2022-06-17;Nan
2022-06-18;Nan
2022-06-19;Nan
2022-06-20;14.6
2022-06-21;15.9
2022-06-22;14.7
2022-06-23;15.5
2022-06-24;20.1
2022-06-25;20.7
2022-06-26;20.4
2022-06-27;18.7
2022-06-28;17.2
2022-06-29;19.0
2022-06-30;21.1
2022-07-01;20.2
2022-07-02;18.0
2022-07-03;17.8
2022-07-04;16.1
2022-07-05;15.5
2022-07-06;16.1
2022-07-07;17.4
2022-07-08;17.6
2022-07-09;16.8
2022-07-10;17.2
2022-07-11;17.8
2022-07-12;17.3
2022-07-13;18.1
2022-07-14;15.9
2022-07-15;15.9
2022-07-16;16.4
2022-07-17;16.7
2022-07-18;17.5
2022-07-19;19.4
2022-07-20;22.6
2022-07-21;21.1
2022-07-22;17.2
2022-07-23;16.6
2022-07-24;16.9
2022-07-25;18.2
2022-07-26;16.1
2022-07-27;17.2
2022-07-28;16.9
2022-07-29;18.2
2022-07-30;18.3
2022-07-31;19.2
2022-08-01;17.7
2022-08-02;16.4
2022-08-03;18.9
2022-08-04;19.0
2022-08-05;16.2
2022-08-06;15.7
2022-08-07;15.4
2022-08-08;17.0
2022-08-09;16.8
2022-08-10;18.0
2022-08-11;19.2
2022-08-12;19.8
2022-08-13;19.7
2022-08-14;20.5
2022-08-15;21.8
2022-08-16;21.3
2022-08-17;20.2
2022-08-18;19.5
2022-08-19;19.2
2022-08-20;19.0
2022-08-21;18.3
2022-08-22;17.4
2022-08-23;16.5
2022-08-24;19.1
2022-08-25;17.1
2022-08-26;20.6
2022-08-27;19.1
2022-08-28;17.5
2022-08-29;15.3
2022-08-30;14.6
2022-08-31;14.7
2022-09-01;14.5
2022-09-02;14.5
2022-09-03;15.1
2022-09-04;16.0
2022-09-05;16.0
2022-09-06;14.9
2022-09-07;14.7
2022-09-08;15.3
2022-09-09;12.9
2022-09-10;14.9
2022-09-11;14.1
2022-09-12;15.6
2022-09-13;15.3
2022-09-14;15.7
2022-09-15;14.6
2022-09-16;15.0
2022-09-17;14.1
2022-09-18;13.3
2022-09-19;12.1
2022-09-20;11.5
2022-09-21;11.1
2022-09-22;12.5
2022-09-23;14.2
2022-09-24;13.6
2022-09-25;12.4
2022-09-26;11.9
2022-09-27;12.0
2022-09-28;12.7
2022-09-29;10.3
2022-09-30;9.8
2022-10-01;11.9
2022-10-02;12.4
2022-10-03;12.1
2022-10-04;12.1
2022-10-05;14.1
2022-10-06;13.3
2022-10-07;13.6
2022-10-08;12.3
2022-10-09;12.3
2022-10-10;12.4
2022-10-11;11.6
2022-10-12;12.0
2022-10-13;12.2
2022-10-14;11.7
2022-10-15;12.7
2022-10-16;12.4
2022-10-17;11.9
