Datum;Dygnsmedel
2014-01-01;3.2
2014-01-02;4.4
2014-01-03;5.7
2014-01-04;6.1
2014-01-05;4.8
2014-01-06;4.9
2014-01-07;7.9
2014-01-08;7.1
2014-01-09;5.4
2014-01-10;2.7
2014-01-11;5.8
2014-01-12;-0.1
2014-01-13;-6.0
2014-01-14;-0.4
2014-01-15;0.7
2014-01-16;0.0
2014-01-17;-2.0
2014-01-18;-2.3
2014-01-19;-2.1
2014-01-20;-3.2
2014-01-21;-5.3
2014-01-22;-4.8
2014-01-23;-3.7
2014-01-24;-3.7
2014-01-25;-4.4
2014-01-26;-4.3
2014-01-27;-3.1
2014-01-28;-0.7
2014-01-29;-2.0
2014-01-30;-3.4
2014-01-31;-3.2
2014-02-01;-0.1
2014-02-02;3.1
2014-02-03;3.1
2014-02-04;2.1
2014-02-05;1.7
2014-02-06;2.3
2014-02-07;3.7
2014-02-08;3.8
2014-02-09;4.4
2014-02-10;3.6
2014-02-11;3.4
2014-02-12;2.6
2014-02-13;2.5
2014-02-14;2.9
2014-02-15;4.6
2014-02-16;5.4
2014-02-17;4.9
2014-02-18;3.6
2014-02-19;3.8
2014-02-20;2.4
2014-02-21;5.4
2014-02-22;4.4
2014-02-23;5.6
2014-02-24;7.2
2014-02-25;5.9
2014-02-26;5.1
2014-02-27;6.0
2014-02-28;5.3
2014-03-01;4.3
2014-03-02;3.3
2014-03-03;4.5
2014-03-04;5.9
2014-03-05;4.5
2014-03-06;4.9
2014-03-07;7.0
2014-03-08;6.1
2014-03-09;7.7
2014-03-10;5.6
2014-03-11;3.3
2014-03-12;4.7
2014-03-13;6.0
2014-03-14;4.8
2014-03-15;6.5
2014-03-16;6.7
2014-03-17;7.3
2014-03-18;6.4
2014-03-19;6.9
2014-03-20;9.8
2014-03-21;8.6
2014-03-22;6.8
2014-03-23;6.4
2014-03-24;5.5
2014-03-25;3.9
2014-03-26;5.2
2014-03-27;3.5
2014-03-28;8.6
2014-03-29;8.1
2014-03-30;7.2
2014-03-31;5.5
2014-04-01;4.4
2014-04-02;5.3
2014-04-03;5.0
2014-04-04;5.1
2014-04-05;4.2
2014-04-06;8.6
2014-04-07;10.3
2014-04-08;9.5
2014-04-09;5.4
2014-04-10;5.2
2014-04-11;8.4
2014-04-12;7.3
2014-04-13;8.4
2014-04-14;8.8
2014-04-15;8.2
2014-04-16;6.7
2014-04-17;8.4
2014-04-18;8.2
2014-04-19;10.6
2014-04-20;13.4
2014-04-21;14.8
2014-04-22;14.8
2014-04-23;13.5
2014-04-24;10.2
2014-04-25;14.2
2014-04-26;14.6
2014-04-27;15.1
2014-04-28;14.5
2014-04-29;9.3
2014-04-30;10.8
2014-05-01;8.1
2014-05-02;7.4
2014-05-03;7.6
2014-05-04;7.7
2014-05-05;8.5
2014-05-06;8.7
2014-05-07;8.7
2014-05-08;10.7
2014-05-09;11.6
2014-05-10;11.6
2014-05-11;12.4
2014-05-12;11.6
2014-05-13;11.0
2014-05-14;11.2
2014-05-15;12.4
2014-05-16;13.7
2014-05-17;14.8
2014-05-18;15.3
2014-05-19;14.9
2014-05-20;13.3
2014-05-21;17.9
2014-05-22;23.4
2014-05-23;22.1
2014-05-24;18.0
2014-05-25;17.3
2014-05-26;16.7
2014-05-27;14.3
2014-05-28;12.2
2014-05-29;14.2
2014-05-30;16.6
2014-05-31;15.0
2014-06-01;15.4
2014-06-02;18.2
2014-06-03;15.3
2014-06-04;16.2
2014-06-05;17.1
2014-06-06;13.7
2014-06-07;16.0
2014-06-08;18.5
2014-06-09;19.5
2014-06-10;20.2
2014-06-11;18.5
2014-06-12;17.3
2014-06-13;17.3
2014-06-14;16.5
2014-06-15;15.0
2014-06-16;16.6
2014-06-17;15.8
2014-06-18;17.6
2014-06-19;17.1
2014-06-20;15.1
2014-06-21;13.7
2014-06-22;13.9
2014-06-23;14.9
2014-06-24;15.1
