Datum;Dygnsmedel
2018-01-01;4.6
2018-01-02;4.8
2018-01-03;Nan
2018-01-04;Nan
2018-01-05;Nan
2018-01-06;-1.4
2018-01-07;-2.4
2018-01-08;1.9
2018-01-09;1.1
2018-01-10;2.5
2018-01-11;1.3
2018-01-12;0.5
2018-01-13;0.1
2018-01-14;-0.6
2018-01-15;-0.2
2018-01-16;1.3
2018-01-17;1.2
2018-01-18;0.5
2018-01-19;-1.6
2018-01-20;-0.3
2018-01-21;0.1
2018-01-22;-0.6
2018-01-23;0.4
2018-01-24;4.8
2018-01-25;3.7
2018-01-26;Nan
2018-01-27;Nan
2018-01-28;Nan
2018-01-29;Nan
2018-01-30;Nan
2018-01-31;Nan
2018-02-01;Nan
2018-02-02;Nan
2018-02-03;Nan
2018-02-04;Nan
2018-02-05;Nan
2018-02-06;-3.8
2018-02-07;-1.0
2018-02-08;0.7
2018-02-09;-0.5
2018-02-10;-1.1
2018-02-11;-0.4
2018-02-12;0.9
2018-02-13;1.5
2018-02-14;1.4
2018-02-15;0.2
2018-02-16;Nan
2018-02-17;-0.3
2018-02-18;1.0
2018-02-19;1.1
2018-02-20;0.0
2018-02-21;-0.3
2018-02-22;-2.0
2018-02-23;-1.1
2018-02-24;-1.3
2018-02-25;Nan
2018-02-26;Nan
2018-02-27;Nan
2018-02-28;Nan
2018-03-01;Nan
2018-03-02;Nan
2018-03-03;-3.0
2018-03-04;Nan
2018-03-05;Nan
2018-03-06;Nan
2018-03-07;Nan
2018-03-08;Nan
2018-03-09;Nan
2018-03-10;Nan
2018-03-11;Nan
2018-03-12;Nan
2018-03-13;Nan
2018-03-14;Nan
2018-03-15;Nan
2018-03-16;Nan
2018-03-17;Nan
2018-03-18;Nan
2018-03-19;Nan
2018-03-20;Nan
2018-03-21;Nan
2018-03-22;Nan
2018-03-23;Nan
2018-03-24;Nan
2018-03-25;Nan
2018-03-26;Nan
2018-03-27;Nan
2018-03-28;Nan
2018-03-29;Nan
2018-03-30;Nan
2018-03-31;Nan
2018-04-01;Nan
2018-04-02;Nan
2018-04-03;Nan
2018-04-04;Nan
2018-04-05;Nan
2018-04-06;Nan
2018-04-07;Nan
2018-04-08;Nan
2018-04-09;Nan
2018-04-10;Nan
2018-04-11;Nan
2018-04-12;Nan
2018-04-13;Nan
2018-04-14;Nan
2018-04-15;Nan
2018-04-16;Nan
2018-04-17;Nan
2018-04-18;Nan
2018-04-19;Nan
2018-04-20;Nan
2018-04-21;Nan
2018-04-22;Nan
2018-04-23;Nan
2018-04-24;Nan
2018-04-25;Nan
2018-04-26;Nan
2018-04-27;Nan
2018-04-28;Nan
2018-04-29;Nan
2018-04-30;Nan
2018-05-01;Nan
2018-05-02;Nan
2018-05-03;Nan
2018-05-04;Nan
2018-05-05;Nan
2018-05-06;Nan
