Datum;Dygnsmedel
2017-01-01;5.3
2017-01-02;0.6
2017-01-03;2.0
2017-01-04;1.1
2017-01-05;-5.1
2017-01-06;-4.1
2017-01-07;1.6
2017-01-08;1.3
2017-01-09;4.7
2017-01-10;2.6
2017-01-11;4.3
2017-01-12;5.0
2017-01-13;2.4
2017-01-14;2.3
2017-01-15;-1.2
2017-01-16;-1.6
2017-01-17;1.4
2017-01-18;4.3
2017-01-19;5.6
2017-01-20;5.3
2017-01-21;2.7
2017-01-22;3.6
2017-01-23;3.3
2017-01-24;3.3
2017-01-25;4.3
2017-01-26;2.4
2017-01-27;0.7
2017-01-28;0.5
2017-01-29;1.4
2017-01-30;3.2
2017-01-31;0.6
2017-02-01;1.8
2017-02-02;2.0
2017-02-03;2.4
2017-02-04;2.5
2017-02-05;3.1
2017-02-06;1.6
2017-02-07;-1.2
2017-02-08;-1.3
2017-02-09;-1.1
2017-02-10;0.6
2017-02-11;0.6
2017-02-12;1.2
2017-02-13;-1.8
2017-02-14;-0.5
2017-02-15;0.4
2017-02-16;2.4
2017-02-17;3.5
2017-02-18;1.7
2017-02-19;5.1
2017-02-20;5.7
2017-02-21;5.0
2017-02-22;5.7
2017-02-23;4.0
2017-02-24;-0.1
2017-02-25;0.6
2017-02-26;5.2
2017-02-27;6.3
2017-02-28;6.5
2017-03-01;4.9
2017-03-02;4.2
2017-03-03;5.6
2017-03-04;5.8
2017-03-05;2.0
2017-03-06;0.0
2017-03-07;-1.7
2017-03-08;-0.2
2017-03-09;4.8
2017-03-10;3.6
2017-03-11;2.3
2017-03-12;3.8
2017-03-13;4.1
2017-03-14;5.8
2017-03-15;6.2
2017-03-16;6.3
2017-03-17;5.6
2017-03-18;4.7
2017-03-19;2.9
2017-03-20;5.7
2017-03-21;5.9
2017-03-22;5.4
2017-03-23;3.9
2017-03-24;4.0
2017-03-25;7.4
2017-03-26;5.3
2017-03-27;5.8
2017-03-28;4.4
2017-03-29;3.9
2017-03-30;5.6
2017-03-31;10.5
2017-04-01;10.4
2017-04-02;8.8
2017-04-03;8.4
2017-04-04;7.5
2017-04-05;7.0
2017-04-06;4.2
2017-04-07;7.1
2017-04-08;8.5
2017-04-09;8.7
2017-04-10;8.6
2017-04-11;7.0
2017-04-12;8.1
2017-04-13;7.2
2017-04-14;5.9
2017-04-15;3.9
2017-04-16;3.7
2017-04-17;4.2
2017-04-18;2.3
2017-04-19;3.8
2017-04-20;7.0
2017-04-21;8.7
2017-04-22;7.7
2017-04-23;6.1
2017-04-24;6.7
2017-04-25;4.9
2017-04-26;5.5
2017-04-27;5.8
2017-04-28;5.7
2017-04-29;7.2
2017-04-30;5.9
2017-05-01;7.8
2017-05-02;13.3
2017-05-03;13.2
2017-05-04;11.5
2017-05-05;12.6
2017-05-06;14.2
2017-05-07;12.8
2017-05-08;7.1
2017-05-09;7.6
