Datum;Dygnsmedel
2018-01-01;7.3
2018-01-02;7.2
2018-01-03;4.6
2018-01-04;4.2
2018-01-05;4.0
2018-01-06;1.3
2018-01-07;Nan
2018-01-08;4.6
2018-01-09;3.5
2018-01-10;4.2
2018-01-11;4.1
2018-01-12;2.4
2018-01-13;2.0
2018-01-14;1.7
2018-01-15;1.0
2018-01-16;3.7
2018-01-17;4.8
2018-01-18;3.3
2018-01-19;0.9
2018-01-20;1.3
2018-01-21;2.6
2018-01-22;1.4
2018-01-23;2.1
2018-01-24;7.1
2018-01-25;7.2
2018-01-26;6.8
2018-01-27;4.3
2018-01-28;6.4
2018-01-29;4.9
2018-01-30;4.9
2018-01-31;4.9
2018-02-01;5.0
2018-02-02;-0.4
2018-02-03;-2.7
2018-02-04;-2.4
2018-02-05;-2.4
2018-02-06;0.8
2018-02-07;2.0
2018-02-08;3.6
2018-02-09;1.7
2018-02-10;1.3
2018-02-11;1.0
2018-02-12;3.0
2018-02-13;4.2
2018-02-14;3.5
2018-02-15;1.7
2018-02-16;3.7
2018-02-17;2.8
2018-02-18;4.0
2018-02-19;3.7
2018-02-20;1.6
2018-02-21;2.0
2018-02-22;-1.0
2018-02-23;1.8
2018-02-24;-1.0
2018-02-25;-4.3
2018-02-26;-4.8
2018-02-27;-7.1
2018-02-28;-9.7
2018-03-01;-7.6
2018-03-02;-4.2
2018-03-03;-2.1
2018-03-04;-0.2
2018-03-05;0.3
2018-03-06;2.2
2018-03-07;3.5
2018-03-08;1.4
2018-03-09;1.1
2018-03-10;1.7
2018-03-11;1.6
2018-03-12;6.0
2018-03-13;3.7
2018-03-14;2.8
2018-03-15;0.2
2018-03-16;-2.8
2018-03-17;-2.9
2018-03-18;-1.0
2018-03-19;3.2
2018-03-20;2.0
2018-03-21;5.0
2018-03-22;4.3
2018-03-23;3.0
2018-03-24;3.8
2018-03-25;6.1
2018-03-26;4.2
2018-03-27;0.9
2018-03-28;0.4
2018-03-29;0.7
2018-03-30;1.1
2018-03-31;2.9
2018-04-01;3.6
2018-04-02;Nan
2018-04-03;2.9
2018-04-04;7.3
2018-04-05;7.7
2018-04-06;4.9
2018-04-07;6.7
2018-04-08;9.9
2018-04-09;10.4
2018-04-10;6.7
2018-04-11;6.3
2018-04-12;7.1
2018-04-13;9.8
2018-04-14;11.5
2018-04-15;9.6
2018-04-16;11.3
2018-04-17;9.0
2018-04-18;11.8
2018-04-19;13.2
2018-04-20;13.4
2018-04-21;9.9
2018-04-22;11.0
2018-04-23;10.4
2018-04-24;9.0
2018-04-25;9.4
2018-04-26;9.3
2018-04-27;9.9
2018-04-28;10.4
2018-04-29;10.9
2018-04-30;9.5
2018-05-01;9.4
2018-05-02;11.3
2018-05-03;9.4
2018-05-04;9.1
2018-05-05;13.4
2018-05-06;11.9
2018-05-07;14.6
2018-05-08;16.5
2018-05-09;14.3
2018-05-10;17.5
2018-05-11;16.5
2018-05-12;13.2
2018-05-13;17.1
2018-05-14;18.6
2018-05-15;18.9
2018-05-16;15.5
2018-05-17;14.8
2018-05-18;13.9
2018-05-19;15.4
2018-05-20;12.4
2018-05-21;15.9
2018-05-22;15.5
2018-05-23;16.6
2018-05-24;18.1
2018-05-25;18.7
2018-05-26;18.5
2018-05-27;18.3
2018-05-28;18.5
2018-05-29;20.4
2018-05-30;20.3
2018-05-31;20.2
2018-06-01;18.9
