Datum;Dygnsmedel
2018-01-01;Nan
2018-01-02;Nan
2018-01-03;2.9
2018-01-04;1.8
2018-01-05;1.7
2018-01-06;-1.5
2018-01-07;-3.7
2018-01-08;1.1
2018-01-09;1.3
2018-01-10;2.4
2018-01-11;2.0
2018-01-12;0.2
2018-01-13;-0.2
2018-01-14;-1.2
2018-01-15;-0.8
2018-01-16;1.4
2018-01-17;0.9
2018-01-18;-0.1
2018-01-19;-1.3
2018-01-20;-0.4
2018-01-21;-0.1
2018-01-22;-1.0
2018-01-23;0.3
2018-01-24;4.9
2018-01-25;4.5
2018-01-26;3.9
2018-01-27;0.5
2018-01-28;4.5
2018-01-29;3.6
2018-01-30;1.8
2018-01-31;2.7
2018-02-01;2.7
2018-02-02;-1.8
2018-02-03;-3.8
2018-02-04;-3.5
2018-02-05;-6.6
2018-02-06;-4.4
2018-02-07;-0.9
2018-02-08;0.8
2018-02-09;-0.2
2018-02-10;-1.0
2018-02-11;-0.3
2018-02-12;1.1
2018-02-13;1.2
2018-02-14;1.5
2018-02-15;0.3
2018-02-16;0.8
2018-02-17;-1.2
2018-02-18;1.0
2018-02-19;0.9
2018-02-20;0.1
2018-02-21;-0.9
2018-02-22;-4.1
2018-02-23;-1.5
2018-02-24;-2.7
2018-02-25;-5.3
2018-02-26;-6.1
2018-02-27;-7.7
2018-02-28;-10.0
2018-03-01;-7.9
2018-03-02;-5.0
2018-03-03;-3.0
2018-03-04;-2.2
2018-03-05;-1.7
2018-03-06;0.2
2018-03-07;2.2
2018-03-08;0.0
2018-03-09;-1.4
2018-03-10;-1.5
2018-03-11;0.0
2018-03-12;3.8
2018-03-13;2.1
2018-03-14;1.2
2018-03-15;-1.6
2018-03-16;-3.6
2018-03-17;-4.0
2018-03-18;-5.0
2018-03-19;-2.3
2018-03-20;-1.2
2018-03-21;1.3
2018-03-22;0.9
2018-03-23;0.1
2018-03-24;1.2
2018-03-25;1.7
2018-03-26;2.4
2018-03-27;-0.6
2018-03-28;-0.9
2018-03-29;0.2
2018-03-30;-1.0
2018-03-31;-0.1
2018-04-01;2.9
2018-04-02;-1.1
2018-04-03;0.5
2018-04-04;6.4
2018-04-05;5.4
2018-04-06;3.3
2018-04-07;6.7
2018-04-08;9.8
2018-04-09;7.6
2018-04-10;6.9
2018-04-11;7.5
2018-04-12;8.9
2018-04-13;12.5
2018-04-14;12.8
2018-04-15;7.9
2018-04-16;9.2
2018-04-17;8.1
2018-04-18;7.7
2018-04-19;10.8
2018-04-20;14.2
2018-04-21;8.0
2018-04-22;7.7
2018-04-23;7.0
2018-04-24;7.3
2018-04-25;6.5
2018-04-26;7.6
2018-04-27;7.1
2018-04-28;6.7
2018-04-29;11.0
2018-04-30;9.6
2018-05-01;8.6
2018-05-02;10.5
2018-05-03;7.2
2018-05-04;7.5
2018-05-05;8.9
2018-05-06;8.2
2018-05-07;15.9
2018-05-08;13.4
2018-05-09;15.2
2018-05-10;15.3
2018-05-11;11.4
2018-05-12;15.6
2018-05-13;20.5
2018-05-14;17.1
2018-05-15;21.6
2018-05-16;20.8
2018-05-17;17.5
2018-05-18;14.1
2018-05-19;16.2
2018-05-20;17.5
2018-05-21;16.9
2018-05-22;18.4
2018-05-23;17.5
2018-05-24;Nan
2018-05-25;Nan
2018-05-26;17.0
2018-05-27;16.7
2018-05-28;16.9
2018-05-29;20.8
2018-05-30;24.3
2018-05-31;24.2
2018-06-01;22.1
2018-06-02;22.7
2018-06-03;22.4
2018-06-04;22.7
2018-06-05;17.1
2018-06-06;17.4
2018-06-07;19.7
2018-06-08;21.5
2018-06-09;16.0
2018-06-10;18.5
2018-06-11;15.4
2018-06-12;18.2
2018-06-13;17.3
2018-06-14;13.2
2018-06-15;17.0
2018-06-16;14.2
2018-06-17;14.1
2018-06-18;15.7
2018-06-19;15.8
2018-06-20;13.7
2018-06-21;14.8
2018-06-22;14.3
2018-06-23;15.4
2018-06-24;16.7
2018-06-25;19.1
2018-06-26;21.1
2018-06-27;20.6
2018-06-28;22.3
2018-06-29;19.7
2018-06-30;18.2
2018-07-01;19.4
2018-07-02;19.4
2018-07-03;20.0
2018-07-04;20.2
2018-07-05;19.1
2018-07-06;19.8
2018-07-07;21.5
2018-07-08;21.2
2018-07-09;20.0
2018-07-10;20.7
2018-07-11;22.1
2018-07-12;23.0
2018-07-13;21.8
2018-07-14;18.1
2018-07-15;16.4
2018-07-16;13.3
2018-07-17;17.3
2018-07-18;19.9
2018-07-19;15.7
2018-07-20;14.3
2018-07-21;20.1
2018-07-22;11.8
2018-07-23;12.1
2018-07-24;21.3
2018-07-25;20.3
2018-07-26;22.7
2018-07-27;21.1
2018-07-28;Nan
2018-07-29;17.8
2018-07-30;23.2
2018-07-31;26.2
2018-08-01;22.2
2018-08-02;21.4
2018-08-03;22.1
2018-08-04;21.4
2018-08-05;19.4
2018-08-06;18.3
2018-08-07;21.9
2018-08-08;23.9
2018-08-09;21.4
2018-08-10;19.5
2018-08-11;17.3
2018-08-12;16.5
2018-08-13;12.6
2018-08-14;17.5
2018-08-15;18.6
2018-08-16;19.2
2018-08-17;Nan
2018-08-18;Nan
2018-08-19;Nan
2018-08-20;15.9
2018-08-21;16.2
2018-08-22;15.0
2018-08-23;19.4
2018-08-24;16.4
2018-08-25;15.6
2018-08-26;15.1
2018-08-27;13.8
2018-08-28;16.8
2018-08-29;17.8
2018-08-30;13.8
2018-08-31;14.8
2018-09-01;15.9
2018-09-02;16.1
2018-09-03;15.6
2018-09-04;15.5
2018-09-05;18.9
2018-09-06;19.1
2018-09-07;18.2
2018-09-08;15.0
2018-09-09;15.4
2018-09-10;16.5
2018-09-11;14.9
2018-09-12;15.0
2018-09-13;Nan
2018-09-14;14.3
2018-09-15;13.9
2018-09-16;13.9
2018-09-17;15.4
2018-09-18;18.4
2018-09-19;14.9
2018-09-20;15.0
2018-09-21;15.5
2018-09-22;12.2
