Datum;Dygnsmedel
2019-01-01;5.7
2019-01-02;1.0
2019-01-03;0.7
2019-01-04;2.1
2019-01-05;2.0
2019-01-06;1.3
2019-01-07;3.3
2019-01-08;2.9
2019-01-09;-0.5
2019-01-10;-1.3
2019-01-11;2.6
2019-01-12;0.5
2019-01-13;1.7
2019-01-14;0.8
2019-01-15;0.4
2019-01-16;4.3
2019-01-17;-1.5
2019-01-18;-4.5
2019-01-19;0.1
2019-01-20;-0.3
2019-01-21;0.9
2019-01-22;0.6
2019-01-23;-2.3
2019-01-24;-3.3
2019-01-25;-2.6
2019-01-26;-3.5
2019-01-27;-1.7
2019-01-28;0.1
2019-01-29;-4.1
2019-01-30;-2.0
2019-01-31;-0.9
2019-02-01;0.3
2019-02-02;0.3
2019-02-03;-1.2
2019-02-04;-0.3
2019-02-05;1.6
2019-02-06;0.7
2019-02-07;2.7
2019-02-08;4.1
2019-02-09;4.9
2019-02-10;4.2
2019-02-11;2.1
2019-02-12;1.1
2019-02-13;4.7
2019-02-14;5.0
2019-02-15;3.7
2019-02-16;4.4
2019-02-17;5.2
2019-02-18;5.9
2019-02-19;5.1
2019-02-20;3.8
2019-02-21;4.8
2019-02-22;1.1
2019-02-23;2.8
2019-02-24;3.3
2019-02-25;4.5
2019-02-26;5.6
2019-02-27;4.7
2019-02-28;3.9
2019-03-01;1.1
2019-03-02;1.1
2019-03-03;5.6
2019-03-04;5.6
2019-03-05;2.3
2019-03-06;3.5
2019-03-07;6.1
2019-03-08;4.0
2019-03-09;3.5
2019-03-10;1.8
2019-03-11;-0.8
2019-03-12;0.4
2019-03-13;3.6
2019-03-14;5.1
2019-03-15;4.8
2019-03-16;5.6
2019-03-17;5.4
2019-03-18;4.3
2019-03-19;2.6
2019-03-20;5.6
2019-03-21;7.1
2019-03-22;5.1
2019-03-23;6.6
2019-03-24;5.6
2019-03-25;5.5
2019-03-26;5.4
2019-03-27;7.2
2019-03-28;8.1
2019-03-29;8.4
2019-03-30;7.3
2019-03-31;5.0
2019-04-01;2.4
2019-04-02;5.7
2019-04-03;9.6
2019-04-04;11.9
2019-04-05;12.6
2019-04-06;12.2
2019-04-07;10.9
2019-04-08;5.8
2019-04-09;2.8
2019-04-10;2.1
2019-04-11;1.9
2019-04-12;3.7
2019-04-13;4.5
2019-04-14;5.6
2019-04-15;5.9
2019-04-16;7.5
2019-04-17;8.5
2019-04-18;10.5
2019-04-19;10.4
2019-04-20;10.8
2019-04-21;9.9
2019-04-22;10.7
2019-04-23;13.1
2019-04-24;15.9
2019-04-25;16.8
2019-04-26;15.1
2019-04-27;12.4
2019-04-28;11.4
2019-04-29;12.3
2019-04-30;15.7
2019-05-01;11.9
2019-05-02;10.0
2019-05-03;5.7
2019-05-04;6.6
2019-05-05;7.6
