Datum;Dygnsmedel
2022-01-01;1.9
2022-01-02;5.2
2022-01-03;5.3
2022-01-04;0.6
2022-01-05;-0.7
2022-01-06;-5.5
2022-01-07;-2.6
2022-01-08;0.0
2022-01-09;-1.1
2022-01-10;-0.6
2022-01-11;-2.0
2022-01-12;2.1
2022-01-13;5.5
2022-01-14;4.7
2022-01-15;0.0
2022-01-16;3.1
2022-01-17;1.3
2022-01-18;0.3
2022-01-19;3.0
2022-01-20;-2.6
2022-01-21;-1.2
2022-01-22;-3.4
2022-01-23;0.8
2022-01-24;4.2
2022-01-25;2.0
2022-01-26;2.8
2022-01-27;3.7
2022-01-28;1.1
2022-01-29;3.6
2022-01-30;2.2
2022-01-31;-3.1
2022-02-01;-2.8
2022-02-02;-3.0
2022-02-03;-1.1
2022-02-04;2.2
2022-02-05;1.3
2022-02-06;1.6
2022-02-07;0.8
2022-02-08;3.1
2022-02-09;3.0
2022-02-10;1.7
2022-02-11;Nan
2022-02-12;0.6
2022-02-13;0.8
2022-02-14;2.7
2022-02-15;3.2
2022-02-16;1.8
2022-02-17;0.6
2022-02-18;1.8
2022-02-19;0.1
2022-02-20;0.1
2022-02-21;0.5
2022-02-22;-2.4
2022-02-23;1.0
2022-02-24;2.9
2022-02-25;1.1
2022-02-26;-0.1
2022-02-27;0.2
2022-02-28;0.1
2022-03-01;0.7
2022-03-02;2.3
2022-03-03;0.4
2022-03-04;-1.4
2022-03-05;-1.3
2022-03-06;0.9
2022-03-07;2.7
2022-03-08;1.8
2022-03-09;-1.1
2022-03-10;1.3
2022-03-11;1.2
2022-03-12;3.2
2022-03-13;2.9
2022-03-14;4.2
2022-03-15;1.1
2022-03-16;2.5
2022-03-17;1.8
2022-03-18;5.4
2022-03-19;4.8
2022-03-20;4.5
2022-03-21;4.7
2022-03-22;5.0
2022-03-23;4.6
2022-03-24;6.9
2022-03-25;7.9
2022-03-26;5.5
2022-03-27;5.9
2022-03-28;6.8
2022-03-29;1.2
2022-03-30;-1.1
2022-03-31;-1.4
2022-04-01;-1.5
2022-04-02;-1.4
2022-04-03;1.7
2022-04-04;2.0
2022-04-05;1.1
2022-04-06;-1.1
2022-04-07;2.4
2022-04-08;-0.1
2022-04-09;1.2
2022-04-10;4.0
2022-04-11;4.2
2022-04-12;4.7
2022-04-13;6.5
2022-04-14;6.4
2022-04-15;4.0
2022-04-16;6.4
2022-04-17;7.3
2022-04-18;7.8
2022-04-19;9.9
2022-04-20;9.0
2022-04-21;9.4
2022-04-22;9.1
2022-04-23;6.9
2022-04-24;5.5
2022-04-25;6.0
2022-04-26;5.6
2022-04-27;5.9
2022-04-28;7.3
2022-04-29;6.8
2022-04-30;7.5
2022-05-01;8.6
2022-05-02;9.5
2022-05-03;7.6
2022-05-04;8.2
2022-05-05;10.7
2022-05-06;11.3
2022-05-07;12.1
2022-05-08;7.8
2022-05-09;10.8
2022-05-10;11.5
2022-05-11;11.2
2022-05-12;10.8
